subject_id,subject_language,survey_time,chrome,firefox,IE,safari,opera,other,don't know,headphones,speakers,earbuds,very bad,bad,normal,good,very good,distractions_yes,distractions_no,wireless,wired,very_slowly,slowly,tolerably_so,pretty_fast,no_loading_time,satisfaction
X_NUXHLOJYVC,eng,0:15.8,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_BXDUYGLTPI,eng,0:22.2,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0
X_PGESXNWMAC,eng,0:23.3,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0
X_NTYKMBLRZJ,eng,0:20.1,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0
X_DEJRLMYFHX,eng,0:31.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_OAZPBLCXSD,eng,0:26.0,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_CGJFIRPMVZ,eng,0:42.9,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_NYVSJXPQCL,eng,0:22.2,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_KLNYJUXABO,eng,0:16.1,0,1,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0
X_OWQUXVDATJ,eng,0:23.4,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0
X_SYIXBAZGOV,eng,0:51.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0
X_YDHWTMXLEA,eng,0:18.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,74.0
X_LMORKPZSJW,eng,0:47.8,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_LUZMERKFPT,eng,0:31.8,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_UTJHEKXNZF,eng,0:41.0,0,1,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_PDYRONZUBX,eng,0:29.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,84.0
X_PJXOTLUYRG,eng,0:27.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_QRIKDZLWCS,eng,0:23.0,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0
X_DCXNASELVF,eng,0:26.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_XTJBZALRGH,eng,0:19.5,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0
X_ZKIPQUTLHW,eng,1:21.8,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0
X_BTHIMYPXNE,eng,0:19.3,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_IPLHWRAJTQ,eng,0:14.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_CSXUFHEMAN,eng,0:19.0,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,56.0
X_OUVICNRKGB,eng,0:36.7,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,88.0
X_VPYJRCZIFO,eng,0:23.7,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
X_VBJCRILGYA,eng,0:23.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_RXBKDLHZOY,eng,0:35.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0
X_QAVXBMOFTN,eng,0:32.6,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
X_ZUEATMWBPC,eng,0:34.5,0,1,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,94.0
X_COGKIVQHTD,eng,0:23.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,88.0
X_WYDQRUMOGX,eng,0:17.8,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0
X_GPWZYBMCIA,eng,1:16.9,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0
X_YNDSGKTRWQ,eng,0:42.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,78.0
X_DIWNKZUABP,eng,0:21.8,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_HFBDMSOJIQ,eng,0:20.2,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,73.0
X_TEIAYJQVWD,eng,0:23.2,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0
X_LYNRJZOKTD,eng,0:23.3,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,93.0
X_SIZPBMUGQR,eng,0:15.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_UNLMPXIBTO,eng,0:23.7,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0
X_IGZVPXWCUO,eng,0:27.1,1,0,0,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,81.0
X_FUZXWEYBTG,eng,0:24.3,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_CXWEFJKVMB,eng,0:14.5,1,0,0,0,0,0,0,0,0.0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0
X_FMCRSQKIXY,eng,0:26.0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_GNWJLPMTDV,eng,0:34.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_QSVOEGXINT,eng,0:29.1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0
X_MGRCZVJEHK,eng,0:31.6,0,0,0,0,1,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,88.0
X_PKWUARXSQD,eng,0:39.3,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,90.0
X_QHDWTONPZL,eng,0:46.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_JRVQALMGFC,eng,0:33.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
X_JWXNBSRPMC,eng,0:39.1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,91.0
X_OKNUIYDEPA,eng,0:26.3,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0
X_RBSZECIGDN,eng,0:28.4,0,1,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
X_ASVWHXGDFQ,eng,0:29.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_QZDMBTYNGK,eng,0:40.0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
X_VAMSBDUGZW,eng,0:21.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,83.0
X_EYHGLSPTKI,eng,0:22.1,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,81.0
X_OVEYAZDHPC,eng,0:55.7,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,97.0
X_ZSIPLDBTOF,eng,0:29.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_GZHADXOIMR,eng,0:15.2,1,0,0,0,0,0,0,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0
X_UPRWKOJLGT,eng,0:28.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_HEXAPQTRNS,eng,0:22.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,91.0
X_SZTEXPBCIO,eng,0:15.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_NYFGLWTEPO,eng,0:26.9,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0
X_JBYNULWKEF,eng,0:23.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_IMSYHRZVQE,eng,0:20.1,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_TMOHADFKVL,eng,0:53.1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_RBADOUWFGX,eng,0:22.2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
X_QABFWVJOZK,eng,0:38.0,0,1,0,0,0,0,0,0,0.0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_SAPHOICNYT,eng,0:28.5,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0
X_ZPGLUJVQFD,eng,0:39.0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0
X_KYPQNTIRFO,eng,0:24.6,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,82.0
X_MYELBFTGPW,fr,0:13.6,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,80.0
X_WQKPJEBHZS,fr,0:21.4,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,84.0
X_THMBORALCV,fr,0:36.9,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,86.0
X_VMLHQJPNOB,fr,0:23.0,1,0,0,0,0,0,0,1,0.0,,,,,,,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,71.0
X_CKTHZROWXE,fr,0:15.2,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
X_HRTYWONGAJ,fr,0:30.5,0,0,0,1,0,0,0,0,1.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,50.0
X_VKBNSAQJXD,fr,0:37.9,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,70.0
X_OXVYFUSCHK,fr,0:23.7,1,0,0,0,0,0,0,0,1.0,,,,,,,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,16.0
X_EUYHWQPJLS,fr,0:23.6,1,0,0,0,0,0,0,0,1.0,,,,,,,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,83.0
X_USZBLRTMAX,fr,0:49.6,1,0,0,0,0,0,0,0,1.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,83.0
X_SVUMHQNCPZ,fr,0:42.1,1,0,0,0,0,0,0,1,0.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,100.0
X_MVBTZHSCWQ,fr,0:15.5,1,0,0,0,0,0,0,0,1.0,,,,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,86.0
