subject_id,subject_language,18-29yrs,30-39yrs,40-49yrs,50-59yrs,60-69yrs,more_than_69yrs,handedness_L,handedness_R,french_native,french_non_native,lang_other_target_no,lang_other_target_yes,other_lang_na,other_lang_na2,other_lang_native,other_lang_bcpdexp,other_lang_assezdexp,other_lang_unpeudexp,other_lang_trespeudexp,other_lang_comp_na,other_lang_comp_na2,other_lang_comp_native,other_lang_presque_native,other_lang_avancee,other_lang_intermediare,other_lang_debutant,hear_vis_problems_yes,hear_vis_problems_no,troubles_de_lang_yes,troubles_de_lang_no,ling_course_yes,ling_course_no,phonet_course_yes,phonet_course_no,phonog_course_yes,phonog_course_no
X_NUXHLOJYVC,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_BXDUYGLTPI,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_PGESXNWMAC,eng,0,0,0,1,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_NTYKMBLRZJ,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_DEJRLMYFHX,eng,0,0,0,1,0,0,1,0,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_OAZPBLCXSD,eng,0,1,0,0,0,0,0,1,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_CGJFIRPMVZ,eng,0,0,0,0,1,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_NYVSJXPQCL,eng,0,0,1,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_KLNYJUXABO,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
X_OWQUXVDATJ,eng,0,1,0,0,0,0,1,0,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_SYIXBAZGOV,eng,0,0,1,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_YDHWTMXLEA,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_LMORKPZSJW,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_LUZMERKFPT,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
X_UTJHEKXNZF,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_PDYRONZUBX,eng,0,0,0,1,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_PJXOTLUYRG,eng,0,1,0,0,0,0,0,1,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_QRIKDZLWCS,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_DCXNASELVF,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_XTJBZALRGH,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_LOKIFARPTV,eng,0,0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
