CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,mfcc_oth_x,mfcc_tgt_x
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,UH,E,ZEF,ZUHF,ZUHF,0.5333585091548969,0.6485990799394806
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,AE,A,VAEB,VAB,VAB,0.4967814267647124,0.42095838072968456
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,IH,OE,SHOES,SHIHS,SHIHS,0.418833157343247,0.16162413014480437
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,IH,E,ZIHSH,ZESH,ZESH,0.3094946341413591,0.19700609044718725
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,IH,U,SUG,SIHG,SIHG,0.4556403348963685,0.3669894243589359
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,IH,OE,VIHK,VOEK,VOEK,0.5012543887709305,0.40828588397675764
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,AE,A,SAF,SAEF,SAEF,0.46094417880886956,0.6044463239209971
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,UH,OE,VUHZ,VOEZ,VOEZ,0.6026378687419846,0.8046501395501064
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,UH,Y,VYB,VUHB,VUHB,0.6920011173337666,0.4677989202335017
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,UH,A,SHUHV,SHAV,SHAV,0.6277878833851936,0.40051256190001944
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,IH,Y,ZYSH,ZIHSH,ZIHSH,0.38970168249404163,0.330649564632887
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,AE,OE,SHAEV,SHOEV,SHOEV,0.6731296250719245,0.30549062312338465
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,AH,I,SHIB,SHAHB,SHAHB,0.511019317947933,0.589706313629062
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,UH,U,ZUHD,ZUD,ZUD,0.3376428064930302,0.3885771266942325
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,AE,O,ZOD,ZAED,ZAED,0.46552712920321476,0.45776778789452377
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,IH,Y,VIHK,VYK,VYK,0.43941673320093094,0.29468134467755613
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,AH,U,ZUSH,ZAHSH,ZAHSH,0.5555146230770497,0.3997978412601195
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,IH,A,ZIHF,ZAF,ZAF,0.6103215772924313,0.4831153729737053
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,UH,A,ZAV,ZUHV,ZUHV,0.778413853607871,0.6310276868242696
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,UH,Y,ZUHB,ZYB,ZYB,0.43715060972864767,0.31029133465387315
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,AE,Y,SHYS,SHAES,SHAES,0.5492112315892385,0.3278949935347302
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,AE,OE,VAESH,VOESH,VOESH,0.47499276450467715,0.46996626785874906
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,AH,I,ZID,ZAHD,ZAHD,0.4311511861416163,0.6114130304341772
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,AE,E,ZAED,ZED,ZED,0.5365085876706631,0.4378128147451481
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,IH,A,ZAB,ZIHB,ZIHB,0.5457285274315872,0.4810556116741429
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,IH,U,ZIHB,ZUB,ZUB,0.4865665899975894,0.3764404313427432
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,AH,E,VEG,VAHG,VAHG,0.461970248040549,0.45781021387822135
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,IH,O,ZIHF,ZOF,ZOF,0.47961328901561673,0.4327420171870345
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,AH,OE,FOEP,FAHP,FAHP,0.43834848522688835,0.46674362365260996
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,AH,OE,ZAHD,ZOED,ZOED,0.5450482800118077,0.5261743371425213
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,AH,OE,ZOEV,ZAHV,ZAHV,0.5486242971237573,0.6209866588984607
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,AE,I,ZAESH,ZISH,ZISH,0.6513924123397105,0.27926418192012775
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,IH,OE,VOEG,VIHG,VIHG,0.4556764612145661,0.2934838363616806
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,AH,E,ZAHV,ZEV,ZEV,0.5225977353884189,0.40242374035322054
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,IH,U,FUP,FIHP,FIHP,0.4947445737318739,0.39044145282730813
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,IH,OE,ZIHS,ZOES,ZOES,0.6625482053042157,0.2468900158371673
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,UH,I,VIK,VUHK,VUHK,0.5783560727033626,0.7039869197135029
B,Z_G,maureen_eng_66,veronique_fr_67,marc_fr_64,maureen,veronique,marc,triplet38,AH,I,I,AH,I,ZAHG,ZIG,ZIG,0.5483924700712856,0.2925218341243521
B,V_P,veronique_fr_14,maureen_eng_14,ewan_eng_14,veronique,maureen,ewan,triplet39,U,UH,UH,UH,U,VUP,VUHP,VUHP,0.4967185540055878,0.6300224486331225
A,Z_V,maureen_eng_52,veronique_fr_151,remi_fr_150,maureen,veronique,remi,triplet40,AE,O,O,AE,O,ZAEV,ZOV,ZOV,0.8725730591412993,0.3407286742738704
A,V_Z,veronique_fr_145,maureen_eng_54,ewan_eng_61,veronique,maureen,ewan,triplet41,OE,AE,AE,AE,OE,VOEZ,VAEZ,VAEZ,0.398881706323041,0.44570406221499126
B,V_SH,maureen_eng_236,veronique_fr_64,remi_fr_65,maureen,veronique,remi,triplet42,IH,E,E,IH,E,VIHSH,VESH,VESH,0.3303455511582637,0.2209098238012328
B,V_G,maureen_fr_81,veronique_eng_215,jeremy_eng_226,maureen,veronique,jeremy,triplet43,I,IH,IH,IH,I,VIG,VIHG,VIHG,0.3529321133813374,0.3381306191971078
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,IH,I,ZIHF,ZIF,ZIF,0.24935857202640482,0.264195175528218
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,UH,U,VUG,VUHG,VUHG,0.45749162921619013,0.4105926197608097
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,AE,Y,ZAEF,ZYF,ZYF,0.5135640498229513,0.34044696752330966
