CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,mfcc_oth_x,mfcc_tgt_x
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,UH,E,ZEF,ZUHF,ZUHF,0.5057518113039887,0.6175997136737076
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,AE,A,VAEB,VAB,VAB,0.4809779631973301,0.40894976603090716
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,IH,OE,SHOES,SHIHS,SHIHS,0.38503774341025443,0.14837278555807312
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,IH,E,ZIHSH,ZESH,ZESH,0.2776987640141181,0.18056018586722347
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,IH,U,SUG,SIHG,SIHG,0.427452259546496,0.3445214925613548
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,IH,OE,VIHK,VOEK,VOEK,0.4779586866654328,0.4005364789443507
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,AE,A,SAF,SAEF,SAEF,0.4368261648796194,0.557232785936586
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,UH,OE,VUHZ,VOEZ,VOEZ,0.578696986947562,0.7413234341962963
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,UH,Y,VYB,VUHB,VUHB,0.6677234179985609,0.4528597197708269
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,UH,A,SHUHV,SHAV,SHAV,0.5908404307269108,0.3855618265442785
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,IH,Y,ZYSH,ZIHSH,ZIHSH,0.3603791464610941,0.3042438560962369
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,AE,OE,SHAEV,SHOEV,SHOEV,0.6294318462138733,0.2835771691535767
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,AH,I,SHIB,SHAHB,SHAHB,0.47608307799443106,0.5514833178957921
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,UH,U,ZUHD,ZUD,ZUD,0.323431855484613,0.3769163909587508
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,AE,O,ZOD,ZAED,ZAED,0.4395599331886561,0.4267270616951158
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,IH,Y,VIHK,VYK,VYK,0.4229504035031757,0.2841484131103842
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,AH,U,ZUSH,ZAHSH,ZAHSH,0.521751120952635,0.37052369846277694
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,IH,A,ZIHF,ZAF,ZAF,0.5636048703308008,0.4547743042678394
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,UH,A,ZAV,ZUHV,ZUHV,0.7359373039768548,0.5959005353117038
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,UH,Y,ZUHB,ZYB,ZYB,0.4147904214354969,0.2922415338084599
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,AE,Y,SHYS,SHAES,SHAES,0.49809510944727303,0.2983660098169419
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,AE,OE,VAESH,VOESH,VOESH,0.44287719728317754,0.43925616888378977
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,AH,I,ZID,ZAHD,ZAHD,0.40931376883433007,0.5781345972014892
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,AE,E,ZAED,ZED,ZED,0.5029643315862437,0.42413082658620554
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,IH,A,ZAB,ZIHB,ZIHB,0.5127846439630622,0.4450340718638301
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,IH,U,ZIHB,ZUB,ZUB,0.4610025888760633,0.35101178042130093
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,AH,E,VEG,VAHG,VAHG,0.4313551781680632,0.43223115536841333
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,IH,O,ZIHF,ZOF,ZOF,0.441481115471934,0.387969218047016
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,AH,OE,FOEP,FAHP,FAHP,0.41079641699863767,0.45572485878432617
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,AH,OE,ZAHD,ZOED,ZOED,0.5130550846837456,0.5037750669454749
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,AH,OE,ZOEV,ZAHV,ZAHV,0.5196734449052429,0.5877895796675481
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,AE,I,ZAESH,ZISH,ZISH,0.5753128575814125,0.25240109253295623
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,IH,OE,VOEG,VIHG,VIHG,0.43993022125761644,0.2838570993100797
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,AH,E,ZAHV,ZEV,ZEV,0.4911614928581872,0.38368723220359574
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,IH,U,FUP,FIHP,FIHP,0.4626152826447917,0.37253740758877346
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,IH,OE,ZIHS,ZOES,ZOES,0.614498906697427,0.21497469963775825
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,UH,I,VIK,VUHK,VUHK,0.5323811200399019,0.6577912346603024
B,Z_G,maureen_eng_66,veronique_fr_67,marc_fr_64,maureen,veronique,marc,triplet38,AH,I,I,AH,I,ZAHG,ZIG,ZIG,0.5165366881729629,0.27267909859954376
B,V_P,veronique_fr_14,maureen_eng_14,ewan_eng_14,veronique,maureen,ewan,triplet39,U,UH,UH,UH,U,VUP,VUHP,VUHP,0.4582436007423487,0.6001286797518787
A,Z_V,maureen_eng_52,veronique_fr_151,remi_fr_150,maureen,veronique,remi,triplet40,AE,O,O,AE,O,ZAEV,ZOV,ZOV,0.8352738849652241,0.32426716881872986
A,V_Z,veronique_fr_145,maureen_eng_54,ewan_eng_61,veronique,maureen,ewan,triplet41,OE,AE,AE,AE,OE,VOEZ,VAEZ,VAEZ,0.3716201210484201,0.41998338159712334
B,V_SH,maureen_eng_236,veronique_fr_64,remi_fr_65,maureen,veronique,remi,triplet42,IH,E,E,IH,E,VIHSH,VESH,VESH,0.31375954123377015,0.20490588248184202
B,V_G,maureen_fr_81,veronique_eng_215,jeremy_eng_226,maureen,veronique,jeremy,triplet43,I,IH,IH,IH,I,VIG,VIHG,VIHG,0.33850765569129293,0.322421000161139
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,IH,I,ZIHF,ZIF,ZIF,0.23216244869182784,0.24582132062629627
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,UH,U,VUG,VUHG,VUHG,0.44540393502722836,0.3929731942231852
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,AE,Y,ZAEF,ZYF,ZYF,0.4757580914528483,0.3106539497262236
B,S_G,maureen_fr_222,veronique_eng_67,jeremy_eng_70,maureen,veronique,jeremy,triplet47,A,AH,AH,AH,A,SAG,SAHG,SAHG,0.5723749457754834,0.45940220005695187
A,Z_F,veronique_eng_104,maureen_fr_169,remi_fr_161,veronique,maureen,remi,triplet48,AH,A,A,AH,A,ZAHF,ZAF,ZAF,0.3972404390965694,0.40505084285078513
A,Z_S,maureen_fr_153,veronique_eng_93,ewan_eng_98,maureen,veronique,ewan,triplet49,O,AH,AH,AH,O,ZOS,ZAHS,ZAHS,0.3835509493147118,0.23143893977911495
B,Z_S,veronique_eng_93,maureen_fr_168,marc_fr_158,veronique,maureen,marc,triplet50,AH,A,A,AH,A,ZAHS,ZAS,ZAS,0.3770693614896072,0.5994253158072848
B,Z_F,veronique_fr_21,maureen_eng_50,ewan_eng_51,veronique,maureen,ewan,triplet51,U,AE,AE,AE,U,ZUF,ZAEF,ZAEF,0.506140579339069,0.3447736424079781
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,AH,U,SHAHS,SHUS,SHUS,0.5809555037177629,0.24540210229213022
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,UH,OE,ZOEG,ZUHG,ZUHG,0.4426755334137178,0.23734372448508353
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,AE,I,ZAEV,ZIV,ZIV,0.6282060759206682,0.42115948671392284
B,V_K,maureen_fr_15,veronique_eng_72,jeremy_eng_74,maureen,veronique,jeremy,triplet55,U,AH,AH,AH,U,VUK,VAHK,VAHK,0.41459206491919476,0.44483935465326124
A,F_P,veronique_eng_8,maureen_fr_205,marc_fr_199,veronique,maureen,marc,triplet56,UH,O,O,UH,O,FUHP,FOP,FOP,0.3779592278276381,0.3566926042119894
A,Z_D,veronique_fr_83,maureen_eng_68,ewan_eng_69,veronique,maureen,ewan,triplet57,Y,AH,AH,AH,Y,ZYD,ZAHD,ZAHD,0.5016366909403905,0.4081107997096058
B,V_G,maureen_eng_76,veronique_fr_16,marc_fr_11,maureen,veronique,marc,triplet58,AH,U,U,AH,U,VAHG,VUG,VUG,0.5723328194468347,0.5232083496059396
