"","index1","mfcc1","index2","mfcc2"
"1",1,16.8235018063077,1,34.0902324429208
"2",2,-6.73881705372258,2,11.5719109335195
"3",3,6.40470232795296,3,16.9872297847532
"4",4,-3.67299301052853,3,16.9872297847532
"5",5,-18.8323486939528,4,-17.6587059661813
"6",6,-15.9198044926674,5,15.4819382659646
"7",6,-15.9198044926674,6,-2.6729777221207
"8",7,-30.7522508039494,7,-14.368732094368
"9",8,-29.6096731036585,8,-7.7119450910062
"10",8,-29.6096731036585,9,-16.9860730662274
"11",9,14.7350827841803,10,48.4806615180707
"12",10,0.374616819815038,11,12.5697886944652
"13",11,-6.38321172542389,11,12.5697886944652
"14",12,-29.0100438196932,12,-5.37436933116381
"15",13,9.35861110794935,13,19.261028410243
