<unk> SPN
I AY
LIKE L AY K
HERE HH IY R
JE ZH
STOCKE S T AO K
ICI  IY S IY
ZUHP Z UH P
ZUHT Z UH T
ZUHG Z UH G
ZUHB Z UH B
ZUHD Z UH D
SUHG S UH G
SUHB S UH B
FUHP F UH P
FUHB F UH B
FUHD F UH D
SHUHP SH UH P
SHUHG SH UH G
SHUHB SH UH B
VUHP V UH P
VUHK V UH K
VUHG V UH G
VUHB V UH B
VUHD V UH D
ZUHZ Z UH Z
ZUHS Z UH S
ZUHF Z UH F
ZUHSH Z UH SH
ZUHV Z UH V
SUHZ S UH Z
SUHS S UH S
SUHF S UH F
SUHV S UH V
FUHZ F UH Z
FUHSH F UH SH
FUHV F UH V
SHUHS SH UH S
SHUHV SH UH V
VUHZ V UH Z
VUHS V UH S
VUHF V UH F
VUHSH V UH SH
VUHV V UH V
ZAET Z AE T
ZAEB Z AE B
ZAED Z AE D
SAED S AE D
SHAEP SH AE P
SHAEB SH AE B
SHAED SH AE D
VAEP V AE P
VAET V AE T
VAEK V AE K
VAEG V AE G
VAEB V AE B
VAED V AE D
ZAEZ Z AE Z
ZAES Z AE S
ZAEF Z AE F
ZAESH Z AE SH
ZAEV Z AE V
SAEF S AE F
FAEZ F AE Z
FAEF F AE F
FAESH F AE SH
SHAES SH AE S
SHAESH SH AE SH
SHAEV SH AE V
VAEZ V AE Z
VAES V AE S
VAEF V AE F
VAESH V AE SH
VAEV V AE V
ZAHT Z AH T
ZAHG Z AH G
ZAHB Z AH B
ZAHD Z AH D
SAHT S AH T
SAHG S AH G
FAHP F AH P
FAHB F AH B
SHAHB SH AH B
SHAHD SH AH D
VAHK V AH K
VAHG V AH G
VAHB V AH B
ZAHP Z AH P
ZAHK Z AH K
ZAHG Z AH G
ZAHB Z AH B
ZAHD Z AH D
SAHT S AH T
SAHG S AH G
FAHP F AH P
FAHB F AH B
SHAHP SH AH P
SHAHK SH AH K
SHAHB SH AH B
SHAHD SH AH D
VAHP V AH P
VAHT V AH T
VAHK V AH K
VAHG V AH G
VAHB V AH B
VAHD V AH D
ZAHZ Z AH Z
ZAHS Z AH S
ZAHF Z AH F
ZAHSH Z AH SH
ZAHV Z AH V
SAHZ S AH Z
SAHSH S AH SH
SAHV S AH V
SHAHZ SH AH Z
SHAHS SH AH S
SHAHF SH AH F
SHAHV SH AH V
VAHSH V AH SH
ZAHZ Z AH Z
ZAHS Z AH S
ZAHF Z AH F
ZAHSH Z AH SH
ZAHV Z AH V
SAHF S AH F
SAHSH S AH SH
SAHV S AH V
FAHF F AH F
FAHSH F AH SH
SHAHZ SH AH Z
SHAHS SH AH S
SHAHF SH AH F
SHAHV SH AH V
VAHZ V AH Z
VAHS V AH S
VAHF V AH F
VAHSH V AH SH
