<unk> SPN
i a j
like l a j k
here h i ʁ
je ʒ ə
stocke s t ɔ k
ici i s i
zuhp z əʊ p
zuht z əʊ t
zuhg z əʊ ɡ
zuhb z əʊ b
zuhd z əʊ d
suhg s əʊ ɡ
suhb s əʊ b
fuhp f əʊ p
fuhb f əʊ b
fuhd f əʊ d
shuhp ʃ əʊ p
shuhg ʃ əʊ ɡ
shuhb ʃ əʊ b
vuhp v əʊ p
vuhk v əʊ k
vuhg v əʊ ɡ
vuhb v əʊ b
vuhd v əʊ d
zuhz z əʊ z
zuhs z əʊ s
zuhf z əʊ f
zuhsh z əʊ ʃ
zuhv z əʊ v
suhz s əʊ z
suhs s əʊ s
suhf s əʊ f
suhv s əʊ v
fuhz f əʊ z
fuhsh f əʊ ʃ
fuhv f əʊ v
fus f u s
fig f i g
vihf v ɪ f
fahv f ʌ v
shuhs ʃ əʊ s
shuhv ʃ əʊ v
vuhz v əʊ z
vuhs v əʊ s
vuhf v əʊ f
vuhsh v əʊ ʃ
vuhv v əʊ v
zaet z ɐ t
zaeb z ɐ b
zaed z ɐ d
saed s ɐ d
shaep ʃ ɐ p
shaeb ʃ ɐ b
shaed ʃ ɐ d
vaep v ɐ p
vaet v ɐ t
vaek v ɐ k
vaeg v ɐ ɡ
vaeb v ɐ b
vaed v ɐ d
zaez z ɐ z
zaes z ɐ s
zaef z ɐ f
zaesh z ɐ ʃ
zaev z ɐ v
saef s ɐ f
faez f ɐ z
faef f ɐ f
faesh f ɐ ʃ
shaes ʃ ɐ s
shaesh ʃ ɐ ʃ
shaev ʃ ɐ v
vaez v ɐ z
vaes v ɐ s
vaef v ɐ f
vaesh v ɐ ʃ
vaev v ɐ v
zaht z ʌ t
zahg z ʌ ɡ
zahb z ʌ b
zahd z ʌ d
saht s ʌ t
sahg s ʌ ɡ
fahp f ʌ p
fahb f ʌ b
shahb ʃ ʌ b
shahd ʃ ʌ d
vahk v ʌ k
vahg v ʌ ɡ
vahb v ʌ b
zahp z ʌ p
zahk z ʌ k
zahg z ʌ ɡ
zahb z ʌ b
zahd z ʌ d
saht s ʌ t
sahg s ʌ ɡ
fahp f ʌ p
fahb f ʌ b
shahp ʃ ʌ p
shahk ʃ ʌ k
shahb ʃ ʌ b
shahd ʃ ʌ d
vahp v ʌ p
vaht v ʌ t
vahk v ʌ k
vahg v ʌ ɡ
vahb v ʌ b
vahd v ʌ d
zahz z ʌ z
zahs z ʌ s
zahf z ʌ f
zahsh z ʌ ʃ
zahv z ʌ v
sahz s ʌ z
sahsh s ʌ ʃ
sahv s ʌ v
shahz ʃ ʌ z
shahs ʃ ʌ s
shahf ʃ ʌ f
shahv ʃ ʌ v
vahsh v ʌ ʃ
zahz z ʌ z
zahs z ʌ s
zahf z ʌ f
zahsh z ʌ ʃ
zahv z ʌ v
sahf s ʌ f
sahsh s ʌ ʃ
sahv s ʌ v
fahf f ʌ f
fahsh f ʌ ʃ
shahz ʃ ʌ z
shahs ʃ ʌ s
shahf ʃ ʌ f
shahv ʃ ʌ v
vahz v ʌ z
vahs v ʌ s
vahf v ʌ f
vahsh v ʌ ʃ
vahv v ʌ v
zahz z ʌ z
zahs z ʌ s
zahf z ʌ f
zahsh z ʌ ʃ
zahv z ʌ v
sahz s ʌ z
sahf s ʌ f
sahsh s ʌ ʃ
sahv s ʌ v
fahf f ʌ f
fahsh f ʌ ʃ
shahz ʃ ʌ z
shahs ʃ ʌ s
shahf ʃ ʌ f
shahv ʃ ʌ v
vahz v ʌ z
vahs v ʌ s
vahsh v ʌ ʃ
zahz z ʌ z
zahs z ʌ s
zahf z ʌ f
zahsh z ʌ ʃ
zahv z ʌ v
sahz s ʌ z
sahsh s ʌ ʃ
sahv s ʌ v
fahf f ʌ f
fahsh f ʌ ʃ
vahz v ʌ z
vahs v ʌ s
vahf v ʌ f
vahsh v ʌ ʃ
vahv v ʌ v
zahs z ʌ s
zahf z ʌ f
zahsh z ʌ ʃ
zahv z ʌ v
sahz s ʌ z
sahf s ʌ f
fahf f ʌ f
shahz ʃ ʌ z
shahf ʃ ʌ f
shahv ʃ ʌ v
vahs v ʌ s
vahf v ʌ f
vahv v ʌ v
zahp z ʌ p
zaht z ʌ t
zahk z ʌ k
zahg z ʌ ɡ
zahd z ʌ d
saht s ʌ t
sahg s ʌ ɡ
fahp f ʌ p
faht f ʌ t
fahg f ʌ ɡ
fahb f ʌ b
shahp ʃ ʌ p
shaht ʃ ʌ t
shahk ʃ ʌ k
shahb ʃ ʌ b
shahd ʃ ʌ d
vahp v ʌ p
vaht v ʌ t
vahk v ʌ k
vahg v ʌ ɡ
vahb v ʌ b
vahd v ʌ d
zahp z ʌ p
zaht z ʌ t
zahk z ʌ k
zahg z ʌ ɡ
zahd z ʌ d
sahg s ʌ ɡ
fahp f ʌ p
faht f ʌ t
fahb f ʌ b
shahb ʃ ʌ b
vahp v ʌ p
vahk v ʌ k
vahb v ʌ b
vahd v ʌ d
zaht z ʌ t
zahg z ʌ ɡ
zahb z ʌ b
saht s ʌ t
sahg s ʌ ɡ
shahp ʃ ʌ p
shahb ʃ ʌ b
shahd ʃ ʌ d
vaht v ʌ t
vahb v ʌ b
vahd v ʌ d
zihg z ɪ ɡ
zihb z ɪ b
zihd z ɪ d
sihg s ɪ ɡ
sihb s ɪ b
fihp f ɪ p
fihk f ɪ k
fihd f ɪ d
shihg ʃ ɪ ɡ
shihb ʃ ɪ b
shihd ʃ ɪ d
vihk v ɪ k
vihg v ɪ ɡ
vihb v ɪ b
zihz z ɪ z
zihs z ɪ s
zihf z ɪ f
zihsh z ɪ ʃ
zihv z ɪ v
sihz s ɪ z
sihsh s ɪ ʃ
fihv f ɪ v
shihz ʃ ɪ z
shihs ʃ ɪ s
vihsh v ɪ ʃ
zup z u p
zut z u t
zug z u ɡ
zub z u b
zud z u d
sug s u ɡ
sub s u b
fup f u p
fub f u b
fud f u d
shup ʃ u p
shug ʃ u ɡ
shub ʃ u b
vup v u p
vuk v u k
vug v u ɡ
vub v u b
vud v u d
zuz z u z
zus z u s
zuf z u f
zush z u ʃ
zuv z u v
suz s u z
sus s u s
suf s u f
suv s u v
fuz f u z
fush f u ʃ
fuv f u v
shus ʃ u s
shuv ʃ u v
vuz v u z
vus v u s
vuf v u f
vush v u ʃ
vuv v u v
zet z ɛ t
zeb z ɛ b
zed z ɛ d
sed s ɛ d
shep ʃ ɛ p
sheb ʃ ɛ b
shed ʃ ɛ d
vep v ɛ p
vet v ɛ t
vek v ɛ k
veg v ɛ ɡ
veb v ɛ b
ved v ɛ d
zez z ɛ z
zes z ɛ s
