<unk> SPN
I a j
LIKE l a j k
HERE h i ʁ
JE ʒ ə
STOCKE s t ɔ k
ICI  i s i
ZUHP z əʊ p
ZUHT z əʊ t
ZUHG z əʊ g
ZUHB z əʊ b
ZUHD z əʊ d
SUHG s əʊ g
SUHB s əʊ b
FUHP f əʊ p
FUHB f əʊ b
FUHD f əʊ d
SHUHP ʃ əʊ p
SHUHG ʃ əʊ g
SHUHB ʃ əʊ b
VUHP v əʊ p
VUHK v əʊ k
VUHG v əʊ g
VUHB v əʊ b
VUHD v əʊ d
ZUHZ z əʊ z
ZUHS z əʊ s
ZUHF z əʊ f
ZUHSH z əʊ ʃ
ZUHV z əʊ v
SUHZ s əʊ z
SUHS s əʊ s
SUHF s əʊ f
SUHV s əʊ v
FUHZ f əʊ z
FUHSH f əʊ ʃ
FUHV f əʊ v
SHUHS ʃ əʊ s
SHUHV ʃ əʊ v
VUHZ v əʊ z
VUHS v əʊ s
VUHF v əʊ f
VUHSH v əʊ ʃ
VUHV v əʊ v
ZAET z ɐ t
ZAEB z ɐ b
ZAED z ɐ d
SAED s ɐ d
SHAEP ʃ ɐ p
SHAEB ʃ ɐ b
SHAED ʃ ɐ d
VAEP v ɐ p
VAET v ɐ t
VAEK v ɐ k
VAEG v ɐ g
VAEB v ɐ b
VAED v ɐ d
ZAEZ z ɐ z
ZAES z ɐ s
ZAEF z ɐ f
ZAESH z ɐ ʃ
ZAEV z ɐ v
SAEF s ɐ f
FAEZ f ɐ z
FAEF f ɐ f
FAESH f ɐ ʃ
SHAES ʃ ɐ s
SHAESH ʃ ɐ ʃ
SHAEV ʃ ɐ v
VAEZ v ɐ z
VAES v ɐ s
VAEF v ɐ f
VAESH v ɐ ʃ
VAEV v ɐ v
ZAHT z ʌ t
ZAHG z ʌ g
ZAHB z ʌ b
ZAHD z ʌ d
SAHT s ʌ t
SAHG s ʌ g
FAHP f ʌ p
FAHB f ʌ b
SHAHB ʃ ʌ b
SHAHD ʃ ʌ d
VAHK v ʌ k
VAHG v ʌ g
VAHB v ʌ b
ZAHP z ʌ p
ZAHK z ʌ k
ZAHG z ʌ g
ZAHB z ʌ b
ZAHD z ʌ d
SAHT s ʌ t
SAHG s ʌ g
FAHP f ʌ p
FAHB f ʌ b
SHAHP ʃ ʌ p
SHAHK ʃ ʌ k
SHAHB ʃ ʌ b
SHAHD ʃ ʌ d
VAHP v ʌ p
VAHT v ʌ t
VAHK v ʌ k
VAHG v ʌ g
VAHB v ʌ b
VAHD v ʌ d
ZAHZ z ʌ z
ZAHS z ʌ s
ZAHF z ʌ f
ZAHSH z ʌ ʃ
ZAHV z ʌ v
SAHZ s ʌ z
SAHSH s ʌ ʃ
SAHV s ʌ v
SHAHZ ʃ ʌ z
SHAHS ʃ ʌ s
SHAHF ʃ ʌ f
SHAHV ʃ ʌ v
VAHSH v ʌ ʃ
ZAHZ z ʌ z
ZAHS z ʌ s
ZAHF z ʌ f
ZAHSH z ʌ ʃ
ZAHV z ʌ v
SAHF s ʌ f
SAHSH s ʌ ʃ
SAHV s ʌ v
FAHF f ʌ f
FAHSH f ʌ ʃ
SHAHZ ʃ ʌ z
SHAHS ʃ ʌ s
SHAHF ʃ ʌ f
SHAHV ʃ ʌ v
VAHZ v ʌ z
VAHS v ʌ s
VAHF v ʌ f
VAHSH v ʌ ʃ
VAHV v ʌ v
ZAHZ z ʌ z
ZAHS z ʌ s
ZAHF z ʌ f
ZAHSH z ʌ ʃ
ZAHV z ʌ v
SAHZ s ʌ z
SAHF s ʌ f
SAHSH s ʌ ʃ
SAHV s ʌ v
FAHF f ʌ f
FAHSH f ʌ ʃ
SHAHZ ʃ ʌ z
SHAHS ʃ ʌ s
SHAHF ʃ ʌ f
SHAHV ʃ ʌ v
VAHZ v ʌ z
VAHS v ʌ s
VAHSH v ʌ ʃ
ZAHZ z ʌ z
ZAHS z ʌ s
ZAHF z ʌ f
ZAHSH z ʌ ʃ
ZAHV z ʌ v
SAHZ s ʌ z
SAHSH s ʌ ʃ
SAHV s ʌ v
FAHF f ʌ f
FAHSH f ʌ ʃ
VAHZ v ʌ z
VAHS v ʌ s
VAHF v ʌ f
VAHSH v ʌ ʃ
VAHV v ʌ v
ZAHS z ʌ s
ZAHF z ʌ f
ZAHSH z ʌ ʃ
ZAHV z ʌ v
SAHZ s ʌ z
SAHF s ʌ f
FAHF f ʌ f
SHAHZ ʃ ʌ z
SHAHF ʃ ʌ f
SHAHV ʃ ʌ v
VAHS v ʌ s
VAHF v ʌ f
VAHV v ʌ v
ZAHP z ʌ p
ZAHT z ʌ t
ZAHK z ʌ k
ZAHG z ʌ g
ZAHD z ʌ d
SAHT s ʌ t
SAHG s ʌ g
FAHP f ʌ p
FAHT f ʌ t
FAHG f ʌ g
FAHB f ʌ b
SHAHP ʃ ʌ p
SHAHT ʃ ʌ t
SHAHK ʃ ʌ k
SHAHB ʃ ʌ b
SHAHD ʃ ʌ d
VAHP v ʌ p
VAHT v ʌ t
VAHK v ʌ k
VAHG v ʌ g
VAHB v ʌ b
VAHD v ʌ d
ZAHP z ʌ p
ZAHT z ʌ t
ZAHK z ʌ k
ZAHG z ʌ g
ZAHD z ʌ d
SAHG s ʌ g
FAHP f ʌ p
FAHT f ʌ t
FAHB f ʌ b
SHAHB ʃ ʌ b
VAHP v ʌ p
VAHK v ʌ k
VAHB v ʌ b
VAHD v ʌ d
ZAHT z ʌ t
ZAHG z ʌ g
ZAHB z ʌ b
SAHT s ʌ t
SAHG s ʌ g
SHAHP ʃ ʌ p
SHAHB ʃ ʌ b
SHAHD ʃ ʌ d
VAHT v ʌ t
VAHB v ʌ b
VAHD v ʌ d
ZIHG z ɪ g
ZIHB z ɪ b
ZIHD z ɪ d
SIHG s ɪ g
SIHB s ɪ b
FIHP f ɪ p
FIHK f ɪ k
FIHD f ɪ d
SHIHG ʃ ɪ g
SHIHB ʃ ɪ b
SHIHD ʃ ɪ d
VIHK v ɪ k
VIHG v ɪ g
VIHB v ɪ b
ZIHZ z ɪ z
ZIHS z ɪ s
ZIHF z ɪ f
ZIHSH z ɪ ʃ
ZIHV z ɪ v
SIHZ s ɪ z
SIHSH s ɪ ʃ
FIHV f ɪ v
SHIHZ ʃ ɪ z
SHIHS ʃ ɪ s
VIHSH v ɪ ʃ
ZUP z u p
ZUT z u t
ZUG z u g
ZUB z u b
ZUD z u d
SUG s u g
SUB s u b
FUP f u p
FUB f u b
FUD f u d
SHUP ʃ u p
SHUG ʃ u g
SHUB ʃ u b
VUP v u p
VUK v u k
VUG v u g
VUB v u b
VUD v u d
ZUZ z u z
