ortho,arpa
ZIG,ZIHG
ZIB,ZIHB
ZID,ZIHD
SIG,SIHG
SIB,SIHB
FIP,FIHP
FIK,FIHK
FID,FIHD
SHIG,SHIHG
SHIB,SHIHB
SHID,SHIHD
VIK,VIHK
VIG,VIHG
VIB,VIHB
ZIZ,ZIHZ
ZIS,ZIHS
ZIF,ZIHF
ZISH,ZIHSH
ZIV,ZIHV
SIZ,SIHZ
SISH,SIHSH
FIV,FIHV
SHIZ,SHIHZ
SHIS,SHIHS
VISH,VIHSH
VIF,VIHF
ZOOP,ZUHP
ZOOT,ZUHT
ZOOG,ZUHG
ZOOB,ZUHB
ZOOD,ZUHD
SOOG,SUHG
SOOB,SUHB
FOOP,FUHP
FOOB,FUHB
FOOD,FUHD
SHOOP,SHUHP
SHOOG,SHUHG
SHOOB,SHUHB
VOOP,VUHP
VOOK,VUHK
VOOG,VUHG
VOOB,VUHB
VOOD,VUHD
ZOOZ,ZUHZ
ZOOS,ZUHS
ZOOF,ZUHF
ZOOSH,ZUHSH
ZOOV,ZUHV
SOOZ,SUHZ
SOOS,SUHS
SOOF,SUHF
SOOV,SUHV
FOOZ,FUHZ
FOOSH,FUHSH
FOOV,FUHV
SHOOS,SHUHS
SHOOV,SHUHV
VOOZ,VUHZ
VOOS,VUHS
VOOF,VUHF
VOOSH,VUHSH
VOOV,VUHV
ZUT,ZAHT
ZUG,ZAHG
ZUB,ZAHB
ZUD,ZAHD
SUT,SAHT
SUG,SAHG
FUP,FAHP
FUB,FAHB
SHUB,SHAHB
SHUD,SHAHD
VUK,VAHK
VUG,VAHG
VUB,VAHB
ZUP,ZAHP
ZUK,ZAHK
ZUG,ZAHG
ZUB,ZAHB
ZUD,ZAHD
SUT,SAHT
SUG,SAHG
FUP,FAHP
FUB,FAHB
SHUP,SHAHP
SHUK,SHAHK
SHUB,SHAHB
SHUD,SHAHD
VUP,VAHP
VUT,VAHT
VUK,VAHK
VUG,VAHG
VUB,VAHB
VUD,VAHD
ZUZ,ZAHZ
ZUS,ZAHS
ZUF,ZAHF
ZUSH,ZAHSH
ZUV,ZAHV
SUZ,SAHZ
SUSH,SAHSH
SUV,SAHV
SHUZ,SHAHZ
SHUS,SHAHS
SHUF,SHAHF
SHUV,SHAHV
VUSH,VAHSH
ZUZ,ZAHZ
ZUS,ZAHS
ZUF,ZAHF
ZUSH,ZAHSH
ZUV,ZAHV
SUF,SAHF
SUSH,SAHSH
SUV,SAHV
FUF,FAHF
FUSH,FAHSH
SHUZ,SHAHZ
SHUS,SHAHS
SHUF,SHAHF
SHUV,SHAHV
VUZ,VAHZ
VUS,VAHS
VUF,VAHF
VUSH,VAHSH
VUV,VAHV
ZUZ,ZAHZ
ZUS,ZAHS
ZUF,ZAHF
ZUSH,ZAHSH
ZUV,ZAHV
SUZ,SAHZ
SUF,SAHF
SUSH,SAHSH
SUV,SAHV
FUF,FAHF
FUSH,FAHSH
SHUZ,SHAHZ
SHUS,SHAHS
SHUF,SHAHF
SHUV,SHAHV
VUZ,VAHZ
VUS,VAHS
VUSH,VAHSH
ZUZ,ZAHZ
ZUS,ZAHS
ZUF,ZAHF
ZUSH,ZAHSH
ZUV,ZAHV
SUZ,SAHZ
SUSH,SAHSH
SUV,SAHV
FUF,FAHF
FUSH,FAHSH
VUZ,VAHZ
VUS,VAHS
VUF,VAHF
VUSH,VAHSH
VUV,VAHV
ZUS,ZAHS
ZUF,ZAHF
ZUSH,ZAHSH
ZUV,ZAHV
SUZ,SAHZ
SUF,SAHF
FUF,FAHF
SHUZ,SHAHZ
SHUF,SHAHF
SHUV,SHAHV
VUS,VAHS
VUF,VAHF
VUV,VAHV
ZUP,ZAHP
ZUT,ZAHT
ZUK,ZAHK
ZUG,ZAHG
ZUD,ZAHD
SUT,SAHT
SUG,SAHG
FUP,FAHP
FUT,FAHT
FUG,FAHG
FUB,FAHB
SHUP,SHAHP
SHUT,SHAHT
SHUK,SHAHK
SHUB,SHAHB
SHUD,SHAHD
VUP,VAHP
VUT,VAHT
VUK,VAHK
VUG,VAHG
VUB,VAHB
VUD,VAHD
ZUP,ZAHP
ZUT,ZAHT
ZUK,ZAHK
ZUG,ZAHG
ZUD,ZAHD
SUG,SAHG
FUP,FAHP
FUT,FAHT
FUB,FAHB
SHUB,SHAHB
VUP,VAHP
VUK,VAHK
VUB,VAHB
VUD,VAHD
ZUT,ZAHT
ZUG,ZAHG
ZUB,ZAHB
SUT,SAHT
SUG,SAHG
SHUP,SHAHP
SHUB,SHAHB
SHUD,SHAHD
VUT,VAHT
VUB,VAHB
VUD,VAHD
FUV,FAHV
ZAT,ZAET
ZAB,ZAEB
ZAD,ZAED
SAD,SAED
SHAP,SHAEP
SHAB,SHAEB
SHAD,SHAED
VAP,VAEP
VAT,VAET
VAK,VAEK
VAG,VAEG
VAB,VAEB
VAD,VAED
ZAZ,ZAEZ
ZAS,ZAES
ZAF,ZAEF
ZASH,ZAESH
ZAV,ZAEV
SAF,SAEF
FAZ,FAEZ
FAF,FAEF
FASH,FAESH
SHAS,SHAES
SHASH,SHAESH
SHAV,SHAEV
VAZ,VAEZ
VAS,VAES
VAF,VAEF
VASH,VAESH
VAV,VAEV
