zoub z u b
zoud z u d
sougue s u ɡ
foupe f u p
voupe v u p
vouk v u k
vougue v u ɡ
voub v u b
zousse z u s
zouffe z u f
zouche z u ʃ
zouve z u v
souffe s u f
chousse ʃ u s
vouche v u ʃ
zeb z ɛ b
zed z ɛ d
cheb ʃ ɛ b
vepe v ɛ p
vek v ɛ k
vegue v ɛ ɡ
veb v ɛ b
zesse z ɛ s
zeffe z ɛ f
zeche z ɛ ʃ
zeve z ɛ v
cheve ʃ ɛ v
veffe v ɛ f
veche v ɛ ʃ
zigue z i ɡ
zib z i b
zid z i d
sigue s i ɡ
chib ʃ i b
vik v i k
vigue v i ɡ
vib v i b
zub z y b
zud z y d
fupe f y p
chub ʃ y b
vupe v y p
vuk v y k
vugue v y ɡ
vub v y b
zisse z i s
ziffe z i f
ziche z i ʃ
zive z i v
chisse ʃ i s
viche v i ʃ
zusse z y s
zuffe z y f
zuche z y ʃ
zuve z y v
chusse ʃ y s
chuve ʃ y v
vuz v y z
vuche v y ʃ
zeusse z œ s
zeuffe z œ f
zeuche z œ ʃ
zeuve z œ v
cheusse ʃ œ s
cheuve ʃ œ v
veuz v œ z
veuche v œ ʃ
zosse z ɔ s
zoffe z ɔ f
zoche z ɔ ʃ
zove z ɔ v
voz v ɔ z
voffe v ɔ f
voche v ɔ ʃ
zasse z a s
zaffe z a f
zache z a ʃ
zave z a v
saffe s a f
chave ʃ a v
vaffe v a f
zeugue z œ ɡ
zeud z œ d
feupe f œ p
veuk v œ k
veugue v œ ɡ
veub v œ b
zod z ɔ d
sogue s ɔ ɡ
fope f ɔ p
vope v ɔ p
vok v ɔ k
vob v ɔ b
zague z a ɡ
zab z a b
sague s a ɡ
chab ʃ a b
vab v a b
zigue z i ɡ
zib z i b
zid z i d
sigue s i ɡ
chib ʃ i b
vik v i k
vigue v i ɡ
vib v i b
zisse z i s
ziffe z i f
ziche z i ʃ
zive z i v
chisse ʃ i s
viche v i ʃ
zonffe z ɔ̃ f
veb v ə b
chinsse ʃ ɛ̃ s
zinche z ɛ̃ ʃ
singue s ɛ̃ ɡ
vink v ɛ̃ k
seffe s ə f
vonz v ɔ̃ z
vonb v ɔ̃ b
chonve ʃ ɔ̃ v
cheve ʃ ə v
cheub ʃ ø b
zond z ɔ̃ d
zed z ə d
zeuche z ø ʃ
zinffe z ɛ̃ f
zonve z ɔ̃ v
zonb z ɔ̃ b
chesse ʃ ə s
veche v ə ʃ
zeud z ø d
zinb z ɛ̃ b
veugue v ø ɡ
feupe f ø p
zeuve z ø v
zeche z ə ʃ
vingue v ɛ̃ ɡ
finpe f ɛ̃ p
zinsse z ɛ̃ s
vonk v ɔ̃ k
zeugue z ø ɡ
vonpe v ɔ̃ p
zeve z ə v
vez v ə z
vinche v ɛ̃ ʃ
vongue v ɔ̃ ɡ
zeffe z ə f
seugue s ø ɡ
zeuffe z ø f
zeusse z ø s
cheusse ʃ ø s
zongue z ɔ̃ ɡ
veuk v ø k
fonpe f ɔ̃ p
veupe v ø p
cheuve ʃ ø v
vinb v ɛ̃ b
songue s ɔ̃ ɡ
zesse z ə s
vek v ə k
sonffe s ɔ̃ f
vonffe v ɔ̃ f
chonb ʃ ɔ̃ b
cheb ʃ ə b
zinve z ɛ̃ v
chinb ʃ ɛ̃ b
veub v ø b
veuz v ø z
veffe v ə f
zeub z ø b
zind z ɛ̃ d
veuche v ø ʃ
vepe v ə p
zonsse z ɔ̃ s
zeb z ə b
zingue z ɛ̃ ɡ
zonche z ɔ̃ ʃ
vonche v ɔ̃ ʃ
vegue v ə ɡ
chonsse ʃ ɔ̃ s
veuffe v ø f
