spk01_utt001 chab
spk01_utt002 chache
spk01_utt003 chad
spk01_utt004 chaffe
spk01_utt005 chague
spk01_utt006 chak
spk01_utt007 chape
spk01_utt008 chasse
spk01_utt009 chaub
spk01_utt010 chauche
spk01_utt011 chaud
spk01_utt012 chauffe
spk01_utt013 chaugue
spk01_utt014 chauk
spk01_utt015 chaupe
spk01_utt016 chausse
spk01_utt017 chauve
spk01_utt018 chauz
spk01_utt019 chave
spk01_utt020 chaz
spk01_utt021 cheb
spk01_utt022 cheche
spk01_utt023 ched
spk01_utt024 cheffe
spk01_utt025 chegue
spk01_utt026 chek
spk01_utt027 chenb
spk01_utt028 chenche
spk01_utt029 chend
spk01_utt030 chenffe
spk01_utt031 chengue
spk01_utt032 chenk
spk01_utt033 chenpe
spk01_utt034 chensse
spk01_utt035 chenve
spk01_utt036 chenz
spk01_utt037 chepe
spk01_utt038 chesse
spk01_utt039 cheub
spk01_utt040 cheuche
spk01_utt041 cheud
spk01_utt042 cheuffe
spk01_utt043 cheugue
spk01_utt044 cheuk
spk01_utt045 cheupe
spk01_utt046 cheusse
spk01_utt047 cheuve
spk01_utt048 cheuz
spk01_utt049 cheve
spk01_utt050 chez
spk01_utt051 chib
spk01_utt052 chiche
spk01_utt053 chid
spk01_utt054 chiffe
spk01_utt055 chigue
spk01_utt056 chik
spk01_utt057 chinb
spk01_utt058 chinche
spk01_utt059 chind
spk01_utt060 chinffe
spk01_utt061 chingue
spk01_utt062 chink
spk01_utt063 chinpe
spk01_utt064 chinsse
spk01_utt065 chinve
spk01_utt066 chinz
spk01_utt067 chipe
spk01_utt068 chisse
spk01_utt069 chive
spk01_utt070 chiz
spk01_utt071 chob
spk01_utt072 choche
spk01_utt073 chod
spk01_utt074 choeb
spk01_utt075 choeche
spk01_utt076 choed
spk01_utt077 choeffe
spk01_utt078 choegue
spk01_utt079 choek
spk01_utt080 choepe
spk01_utt081 choesse
spk01_utt082 choeve
spk01_utt083 choez
spk01_utt084 choffe
spk01_utt085 chogue
spk01_utt086 chok
spk01_utt087 chonb
spk01_utt088 chonche
spk01_utt089 chond
spk01_utt090 chonffe
spk01_utt091 chongue
spk01_utt092 chonk
spk01_utt093 chonpe
spk01_utt094 chonsse
spk01_utt095 chonve
spk01_utt096 chonz
spk01_utt097 chope
spk01_utt098 chosse
spk01_utt099 choub
spk01_utt100 chouche
spk01_utt101 choud
spk01_utt102 chouffe
spk01_utt103 chougue
spk01_utt104 chouk
spk01_utt105 choupe
spk01_utt106 chousse
spk01_utt107 chouve
spk01_utt108 chouz
spk01_utt109 chove
spk01_utt110 choz
spk01_utt111 chub
spk01_utt112 chuche
spk01_utt113 chud
spk01_utt114 chuffe
spk01_utt115 chugue
spk01_utt116 chuk
spk01_utt117 chunb
spk01_utt118 chunche
spk01_utt119 chund
spk01_utt120 chunffe
spk01_utt121 chungue
spk01_utt122 chunk
spk01_utt123 chunpe
spk01_utt124 chunsse
spk01_utt125 chunve
spk01_utt126 chunz
spk01_utt127 chupe
spk01_utt128 chusse
spk01_utt129 chuve
spk01_utt130 chuz
spk01_utt131 chèb
spk01_utt132 chèche
spk01_utt133 chèd
spk01_utt134 chèffe
spk01_utt135 chègue
spk01_utt136 chèk
spk01_utt137 chèpe
spk01_utt138 chèsse
spk01_utt139 chève
spk01_utt140 chèz
spk01_utt141 chéb
spk01_utt142 chéche
spk01_utt143 chéd
spk01_utt144 chéffe
spk01_utt145 chégue
spk01_utt146 chék
spk01_utt147 chépe
spk01_utt148 chésse
spk01_utt149 chéve
spk01_utt150 chéz
spk01_utt151 fab
spk01_utt152 fache
spk01_utt153 fad
spk01_utt154 faffe
spk01_utt155 fague
spk01_utt156 fak
spk01_utt157 fape
spk01_utt158 fasse
spk01_utt159 faub
spk01_utt160 fauche
spk01_utt161 faud
spk01_utt162 fauffe
spk01_utt163 faugue
spk01_utt164 fauk
spk01_utt165 faupe
spk01_utt166 fausse
spk01_utt167 fauve
spk01_utt168 fauz
spk01_utt169 fave
spk01_utt170 faz
spk01_utt171 feb
spk01_utt172 feche
spk01_utt173 fed
spk01_utt174 feffe
spk01_utt175 fegue
spk01_utt176 fek
spk01_utt177 fenb
spk01_utt178 fenche
spk01_utt179 fend
spk01_utt180 fenffe
spk01_utt181 fengue
spk01_utt182 fenk
spk01_utt183 fenpe
spk01_utt184 fensse
spk01_utt185 fenve
spk01_utt186 fenz
spk01_utt187 fepe
spk01_utt188 fesse
spk01_utt189 feub
spk01_utt190 feuche
spk01_utt191 feud
spk01_utt192 feuffe
spk01_utt193 feugue
spk01_utt194 feuk
spk01_utt195 feupe
spk01_utt196 feusse
spk01_utt197 feuve
spk01_utt198 feuz
spk01_utt199 feve
spk01_utt200 fez
spk01_utt201 fib
spk01_utt202 fiche
spk01_utt203 fid
spk01_utt204 fiffe
spk01_utt205 figue
spk01_utt206 fik
spk01_utt207 finb
spk01_utt208 finche
spk01_utt209 find
spk01_utt210 finffe
