ZIG Z IH G
ZIB Z IH B
ZID Z IH D
SIG S IH G
FIP F IH P
SHIB SH IH B
VIK V IH K
VIG V IH G
VIB V IH B
ZIS Z IH S
ZIF Z IH F
ZISH Z IH SH
ZIV Z IH V
SHIS SH IH S
VISH V IH SH
ZOOG Z UH G
ZOOB Z UH B
ZOOD Z UH D
SOOG S UH G
FOOP F UH P
SHOOB SH UH B
VOOP V UH P
VOOK V UH K
VOOG V UH G
VOOB V UH B
ZOOS Z UH S
ZOOF Z UH F
ZOOSH Z UH SH
ZOOV Z UH V
SOOF S UH F
SHOOS SH UH S
SHOOV SH UH V
VOOZ V UH Z
VOOF V UH F
VOOSH V UH SH
ZUG Z AH G
ZUB Z AH B
ZUD Z AH D
SUG S AH G
FUP F AH P
SHUB SH AH B
VUK V AH K
VUG V AH G
VUB V AH B
ZUG Z AH G
ZUB Z AH B
ZUD Z AH D
SUG S AH G
FUP F AH P
SHUB SH AH B
VUP V AH P
VUK V AH K
VUG V AH G
VUB V AH B
ZUS Z AH S
ZUF Z AH F
ZUSH Z AH SH
ZUV Z AH V
SHUS SH AH S
SHUV SH AH V
VUSH V AH SH
ZUS Z AH S
ZUF Z AH F
ZUSH Z AH SH
ZUV Z AH V
SHUS SH AH S
SHUV SH AH V
VUZ V AH Z
VUF V AH F
VUSH V AH SH
ZUS Z AH S
ZUF Z AH F
ZUSH Z AH SH
ZUV Z AH V
SHUS SH AH S
SHUV SH AH V
VUZ V AH Z
VUSH V AH SH
ZUS Z AH S
ZUF Z AH F
ZUSH Z AH SH
ZUV Z AH V
VUZ V AH Z
VUF V AH F
VUSH V AH SH
ZUS Z AH S
ZUF Z AH F
ZUSH Z AH SH
ZUV Z AH V
SHUV SH AH V
VUF V AH F
ZUG Z AH G
ZUD Z AH D
SUG S AH G
FUP F AH P
SHUB SH AH B
VUP V AH P
VUK V AH K
VUG V AH G
VUB V AH B
ZUG Z AH G
ZUD Z AH D
SUG S AH G
FUP F AH P
SHUB SH AH B
VUP V AH P
VUK V AH K
VUB V AH B
ZUG Z AH G
ZUB Z AH B
SUG S AH G
SHUB SH AH B
VUB V AH B
ZAB Z AE B
ZAD Z AE D
SHAB SH AE B
VAP V AE P
VAK V AE K
VAG V AE G
VAB V AE B
ZAS Z AE S
ZAF Z AE F
ZASH Z AE SH
ZAV Z AE V
SAF S AE F
SHAS SH AE S
SHAV SH AE V
VAZ V AE Z
VAF V AE F
VASH V AE SH
ZEF Z EH F
VAAB V AA B
SHOWS SH OW S
ZESH Z EH SH
SUWG S UW G
VOWK V OW K
SAAF S AA F
VOWZ V OW Z
VUYB V "UW Y" B
SHAAV SH AA V
ZUYSH Z "UW Y" SH
SHOWV SH OW V
SHEEB SH IY B
ZUWD Z UW D
ZOD Z AO D
VUYK V "UW Y" K
ZUWSH Z UW SH
ZAAF Z AA F
ZAAV Z AA V
ZUYB Z "UW Y" B
SHUYS SH "UW Y" S
VOWSH V OW SH
ZEED Z IY D
ZED Z EH D
ZAAB Z AA B
ZUWB Z UW B
VEG V EH G
ZOF Z AO F
FOWP F OW P
ZOWD Z OW D
ZOWV Z OW V
ZEESH Z IY SH
VOWG V OW G
ZEV Z EH V
FUWP F UW P
ZOWS Z OW S
VEEK V IY K
ZEEG Z IY G
VUWP V UW P
ZOV Z AO V
VESH V EH SH
VEEG V IY G
ZEEF Z IY F
VUWG V UW G
ZUYF Z "UW Y" F
SAAG S AA G
ZOS Z AO S
ZAAS Z AA S
ZUWF Z UW F
SHUWS SH UW S
ZOWG Z OW G
ZEEV Z IY V
VUWK V UW K
FOP F AO P
ZUYD Z "UW Y" D
VOWB V OW B
VUYP V "UW Y" P
SHEV SH EH V
VOZ V AO Z
ZOWF Z OW F
SOG S AO G
VEEB V IY B
ZUWS Z UW S
ZEES Z IY S
FUYP F "UW Y" P
VEK V EH K
SUWF S UW F
VAAF V AA F
VUWB V UW B
SHEB SH EH B
SHAAB SH AA B
SHUYB SH "UW Y" B
SHUYV SH "UW Y" V
VEB V EH B
VOB V AO B
VUWSH V UW SH
VEP V EH P
VUYZ V "UW Y" Z
SEEG S IY G
VOK V AO K
VEF V EH F
ZUYV Z "UW Y" V
ZEB Z EH B
VUYSH V "UW Y" SH
ZOSH Z AO SH
VEESH V IY SH
VOP V AO P
ZUYS Z "UW Y" S
ZEEB Z IY B
ZAAG Z AA G
ZUWV Z UW V
ZOWSH Z OW SH
VOSH V AO SH
VUYG V "UW Y" G
ZAASH Z AA SH
SHEES SH IY S
ZES Z EH S
VOF V AO F
