triplet,word,start,end,order
triplet76,SHAB,0.01247,0.59116,A
triplet76,SHAEB,1.06009,1.60884,B
triplet76,SHAB,2.07778,2.33719,X
triplet77,ZIHV,0.1322,0.43152,A
triplet77,ZIV,0.98027,1.39932,B
triplet77,ZIHV,1.99796,2.26735,X
triplet48,ZAF,0.07234,0.51134,A
triplet48,ZAHF,1.09002,1.38934,B
triplet48,ZAF,1.98798,2.44694,X
triplet49,ZAHS,0.01247,0.47143,A
triplet49,ZOS,0.95034,1.42925,B
triplet49,ZAHS,1.92812,2.41701,X
triplet93,VIHSH,0.01247,0.31179,A
triplet93,VYSH,0.7907,1.24966,B
triplet93,VIHSH,1.80839,2.12766,X
triplet92,ZEB,0.01247,0.40159,A
triplet92,ZAHB,1.00023,1.43923,B
triplet92,ZEB,1.91814,2.18753,X
triplet7,SAF,0.01247,0.33175,A
triplet7,SAEF,1.0102,1.33946,B
triplet7,SAEF,1.8483,2.29728,X
triplet6,VIHK,0.01247,0.2619,A
triplet6,VOEK,0.80068,1.16984,B
triplet6,VOEK,1.79841,2.12766,X
triplet35,FUP,0.11224,0.4415,A
triplet35,FIHP,0.89048,1.12993,B
triplet35,FIHP,1.68866,1.99796,X
triplet34,ZAHV,0.01247,0.40159,A
triplet34,ZEV,0.94036,1.4093,B
triplet34,ZEV,1.98798,2.36712,X
triplet99,ZIB,0.01247,0.53129,A
triplet99,ZAEB,1.00023,1.43923,B
triplet99,ZAEB,1.90816,2.33719,X
triplet98,ZUHS,0.01247,0.5712,A
triplet98,ZYS,0.97029,1.64875,B
triplet98,ZYS,2.07778,2.49683,X
triplet42,VIHSH,0.01247,0.31179,A
triplet42,VESH,0.86054,1.14989,B
triplet42,VESH,1.70862,2.03787,X
triplet43,VIG,0.01247,0.59116,A
triplet43,VIHG,1.09002,1.51905,B
triplet43,VIHG,1.99796,2.26735,X
triplet28,ZOF,0.01247,0.50136,A
triplet28,ZIHF,1.06009,1.4093,B
triplet28,ZOF,1.96803,2.24739,X
triplet101,ZAHV,0.01247,0.3517,A
triplet101,ZAV,0.90045,1.19977,B
triplet101,ZAHV,1.73855,2.23741,X
triplet100,ZAG,0.01247,0.41156,A
triplet100,ZUHG,1.02018,1.42925,B
triplet100,ZAG,1.89819,2.22744,X
triplet29,FAHP,0.01247,0.38163,A
triplet29,FOEP,0.97029,1.26961,B
triplet29,FAHP,1.9381,2.21746,X
triplet61,SHAHV,0.01247,0.51134,A
triplet61,SHEV,1.05011,1.6288,B
triplet61,SHAHV,2.13764,2.43696,X
triplet60,VYP,0.01247,0.36168,A
triplet60,VAHP,1.02018,1.43923,B
triplet60,VYP,1.91814,2.3771,X
triplet84,VOEB,0.01247,0.48141,A
triplet84,VAHB,0.94036,1.28957,B
triplet84,VOEB,1.72857,2.1576,X
triplet85,VAESH,0.01247,0.55125,A
triplet85,VUSH,1.08005,1.49909,B
triplet85,VAESH,2.04785,2.60658,X
triplet16,VYK,0.01247,0.64104,A
triplet16,VIHK,1.1,1.34943,B
triplet16,VYK,1.85828,2.30726,X
triplet17,ZAHSH,0.01247,0.48141,A
triplet17,ZUSH,1.04014,1.41927,B
triplet17,ZAHSH,1.96803,2.41701,X
triplet22,VAESH,0.01247,0.55125,A
triplet22,VOESH,1.07007,1.54898,B
triplet22,VOESH,2.09773,2.46689,X
triplet23,ZID,0.01247,0.52132,A
triplet23,ZAHD,0.99025,1.4093,B
triplet23,ZAHD,1.87823,2.18753,X
triplet55,VUK,0.01247,0.3517,A
triplet55,VAHK,1.05011,1.51905,B
triplet55,VAHK,2.0678,2.35714,X
triplet54,ZAEV,0.01247,0.39161,A
triplet54,ZIV,0.94036,1.35941,B
triplet54,ZIV,1.95805,2.20748,X
triplet106,ZUHSH,0.01247,0.36168,A
triplet106,ZOESH,0.91043,1.38934,B
triplet106,ZOESH,1.9381,2.35714,X
triplet107,VOSH,0.01247,0.51134,A
triplet107,VUHSH,1.02018,1.52902,B
triplet107,VUHSH,2.08776,2.41701,X
triplet66,SUHG,0.01247,0.53129,A
triplet66,SOG,1.0102,1.49909,B
triplet66,SOG,1.92812,2.24739,X
triplet67,VIB,0.01247,0.62109,A
triplet67,VUHB,1.11995,1.51905,B
triplet67,VUHB,1.98798,2.31723,X
triplet11,ZYSH,0.01247,0.46145,A
triplet11,ZIHSH,1.00023,1.52902,B
triplet11,ZIHSH,2.10771,2.43696,X
triplet10,SHUHV,0.01247,0.47143,A
triplet10,SHAV,1.0102,1.71859,B
triplet10,SHAV,2.23741,2.71633,X
triplet83,VOB,0.01247,0.50136,A
triplet83,VAHB,0.95034,1.30952,B
triplet83,VAHB,1.80839,2.18753,X
triplet82,ZAHF,0.01247,0.33175,A
triplet82,ZOF,0.93039,1.4093,B
triplet82,ZOF,1.95805,2.19751,X
triplet58,VAHG,0.01247,0.39161,A
triplet58,VUG,0.86054,1.32948,B
triplet58,VUG,1.78844,1.9381,X
triplet59,VOEB,0.01247,0.29184,A
triplet59,VAEB,0.92041,1.41927,B
triplet59,VAEB,1.8483,2.32721,X
triplet25,ZIHB,0.01247,0.34172,A
triplet25,ZAB,0.8805,1.24966,B
triplet25,ZIHB,1.72857,2.00794,X
triplet24,ZED,0.0424,0.54127,A
triplet24,ZAED,1.02018,1.46916,B
triplet24,ZED,1.9381,2.22744,X
triplet52,SHUS,0.01247,0.38163,A
triplet52,SHAHS,0.89048,1.17982,B
triplet52,SHUS,1.82834,2.21746,X
triplet53,ZUHG,0.01247,0.39161,A
triplet53,ZOEG,0.8805,1.22971,B
triplet53,ZUHG,1.82834,2.16757,X
triplet89,VUHK,0.01247,0.25193,A
triplet89,VOK,0.80068,1.22971,B
triplet89,VUHK,1.69864,2.19751,X
triplet88,SIG,0.01247,0.49138,A
triplet88,SUHG,0.97029,1.36939,B
triplet88,SIG,1.78844,2.34717,X
triplet71,VEK,0.01247,0.42154,A
triplet71,VAEK,0.86054,1.16984,B
triplet71,VAEK,1.70862,2.09773,X
triplet70,FAHP,0.16213,0.42154,A
triplet70,FYP,1.08005,1.3195,B
triplet70,FYP,1.88821,2.45692,X
triplet111,ZES,0.01247,0.55125,A
triplet111,ZIHS,1.07007,1.46916,B
triplet111,ZIHS,2.09773,2.61655,X
triplet38,ZAHG,0.01247,0.4415,A
triplet38,ZIG,0.91043,1.30952,B
triplet38,ZIG,1.85828,2.09773,X
triplet39,VUP,0.01247,0.25193,A
triplet39,VUHP,0.7907,1.14989,B
triplet39,VUHP,1.80839,2.01791,X
triplet110,SHUHS,0.01247,0.3517,A
triplet110,SHIS,0.95034,1.38934,B
triplet110,SHIS,1.89819,2.41701,X
triplet94,ZIHD,0.01247,0.40159,A
triplet94,ZID,0.86054,1.35941,B
triplet94,ZID,1.82834,2.18753,X
triplet95,ZOSH,0.01247,0.32177,A
triplet95,ZIHSH,0.89048,1.27959,B
triplet95,ZIHSH,1.83832,2.36712,X
triplet1,ZUHF,0.01247,0.35035,A
triplet1,ZEF,0.85325,1.21973,B
triplet1,ZUHF,1.72857,2.07113,X
triplet32,ZISH,0.01247,0.46145,A
triplet32,ZAESH,1.00023,1.43923,B
triplet32,ZISH,2.00794,2.36712,X
triplet33,VIHG,0.01247,0.49138,A
triplet33,VOEG,0.95034,1.33946,B
triplet33,VIHG,1.99796,2.3771,X
triplet45,VUHG,0.01247,0.46145,A
triplet45,VUG,0.90045,1.34943,B
triplet45,VUHG,1.89819,2.22744,X
triplet44,ZIF,0.01247,0.40159,A
triplet44,ZIHF,1.06009,1.33946,B
triplet44,ZIF,1.95805,2.2873,X
triplet68,ZUS,0.01247,0.37166,A
triplet68,ZAES,0.86054,1.21973,B
triplet68,ZUS,1.78844,2.0678,X
triplet69,ZAES,0.01247,0.38163,A
triplet69,ZIS,0.95034,1.35941,B
triplet69,ZAES,1.85828,2.34717,X
triplet21,SHAES,0.01247,0.49138,A
triplet21,SHYS,1.07007,1.64875,B
triplet21,SHAES,2.17755,2.63651,X
triplet108,VYG,0.01247,0.38163,A
triplet108,VAEG,0.90045,1.25964,B
triplet108,VYG,1.73855,2.17755,X
triplet109,ZAESH,0.01247,0.48141,A
triplet109,ZASH,1.08005,1.52902,B
triplet109,ZAESH,2.0678,2.56667,X
triplet20,ZYB,0.01247,0.38163,A
triplet20,ZUHB,0.85057,1.28957,B
triplet20,ZYB,1.67868,2.05782,X
triplet56,FOP,0.01247,0.36168,A
triplet56,FUHP,1.02018,1.36939,B
triplet56,FOP,1.95805,2.21746,X
triplet57,ZAHD,0.01247,0.46145,A
triplet57,ZYD,0.83061,1.39932,B
