CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,en_2_kmean_oth_x,en_2_kmean_tgt_x,fr_2_kmean_oth_x,fr_2_kmean_tgt_x,en_500_kmean_oth_x,en_500_kmean_tgt_x,fr_10_kmean_oth_x,fr_10_kmean_tgt_x,fr_1565_kmean_oth_x,fr_1565_kmean_tgt_x,fr_61_kmean_oth_x,fr_61_kmean_tgt_x,en_10_kmean_oth_x,en_10_kmean_tgt_x,fr_500_kmean_oth_x,fr_500_kmean_tgt_x,fr_6000_kmean_oth_x,fr_6000_kmean_tgt_x,en_611_kmean_oth_x,en_611_kmean_tgt_x,en_6000_kmean_oth_x,en_6000_kmean_tgt_x,en_42_kmean_oth_x,en_42_kmean_tgt_x,fr_100_kmean_oth_x,fr_100_kmean_tgt_x,fr_5_kmean_oth_x,fr_5_kmean_tgt_x,en_100_kmean_oth_x,en_100_kmean_tgt_x,en_5_kmean_oth_x,en_5_kmean_tgt_x,en_1000_kmean_oth_x,en_1000_kmean_tgt_x,fr_1000_kmean_oth_x,fr_1000_kmean_tgt_x
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,UH,E,ZEF,ZUHF,ZUHF,3.775412998876364,3.196837836832197,0.3390268297167308,1.46317697838531,24.342363280961052,21.57238017685187,13.22343498374291,12.35678162881547,21.409979025770248,25.012458691902456,22.9055029444519,18.933767531867893,9.439135260553748,9.258180497060415,26.312089625118556,14.529530872184806,22.355565785250672,25.5934279111598,22.38126666705603,22.631001783904782,23.948656203124234,18.462104142888307,15.863535649161042,18.717221605011023,20.17605974385349,19.4783264995167,5.332474503154088,9.200164575100231,13.488487443585907,13.328157848692577,5.585832936795876,6.436064862890866,22.68994125905253,22.6933041660786,21.782284476626362,21.604815910246487
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,AE,A,VAEB,VAB,VAB,0.9014144031783153,1.2774361107282513,1.8238084582229932,1.764294973028065,13.70920981525217,12.47515512069613,10.450845521109326,11.746509676882246,22.919263263002474,23.759217997322022,12.104057235081871,17.922249563769693,5.430104638954417,10.842281568837228,25.078990226171307,22.25436248311379,23.805100471842746,21.20620221517272,21.601929493827022,21.473390621678757,15.539584332560887,17.18515686078042,17.67313110857376,17.072161824800677,22.4481364472923,23.365449884476945,2.789809641812568,5.162864738678433,13.894553462273633,14.082293616405316,6.950557961236835,7.070155684041622,18.21258417804398,16.14042838271264,18.406065635896688,19.29219724701762
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,IH,OE,SHOES,SHIHS,SHIHS,1.71395350554921,1.8212666287363803,1.6848713136065745,0.7032382538520879,22.503866137021237,20.83293928664494,12.364178488935543,12.601595071744601,22.52869829274575,21.220137052638247,15.460785475369738,11.00993240986328,7.933916947591047,12.810272763365585,19.68659108133363,23.438961186547694,16.703571606603997,21.73594639832866,22.040785310441454,24.244150300472906,19.20418582708363,20.239296841082663,15.972408043394749,14.758367991714744,19.825422003575753,18.915686000107375,3.949118053726246,2.602060366487442,14.50626095540108,18.012993935936958,7.437924344743451,6.56621931623283,22.67476705350275,24.934920689798897,18.879548242989987,18.268798628394006
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,IH,E,ZIHSH,ZESH,ZESH,0.788192390149444,0.7820294028139914,0.7702658598355214,2.6311700748385296,22.6711843802006,19.451784135071932,15.324374861808726,11.331350201659557,24.327397178064253,22.70564856378294,19.695299468630292,13.867697040029636,7.230868125588431,7.3862472157794645,22.127147071622886,19.59464399168418,24.950944222212957,20.480350413887592,16.681328954300373,17.47621371798037,24.966115263779162,15.886473214501288,13.214696656871718,9.846261631258665,16.822866495463792,17.390352279606574,1.2175287255981286,3.0747782532790717,15.881272802733363,18.877006992142924,4.09474514345484,4.076345967895492,19.11826573744706,18.563990029476575,21.340291614023375,19.874572312688766
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,IH,U,SUG,SIHG,SIHG,2.3059744313385244,1.7502702210329533,4.1578046564844335,3.7198344276465924,23.410584365680474,22.86253025088352,12.437659584955112,16.57578284360638,17.815132011797385,24.830695210546086,21.850592445884857,14.847569763651096,10.787298327404166,8.856178939346961,23.060336444474025,20.880174042668454,20.885265760697006,22.70071942968626,19.381430416912078,18.08490438264088,19.237651120869234,18.52292531924622,13.56962300904858,16.133360642458285,27.83986014733391,26.42678933105735,6.159453069577385,6.691031617065227,20.182750912367183,13.326704036993664,4.768151746248744,5.334712421898199,18.11907065089485,16.328635854828526,22.31337721323925,18.900222252991068
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,IH,OE,VIHK,VOEK,VOEK,0.8204828423376314,0.5163479555174223,2.2624127070682123,0.6274356328977992,22.2983152171682,16.30815977643385,13.991061585984475,14.479204903764206,22.828552605356354,24.20094669805339,21.418246712124898,20.19794445715594,7.533639929920496,9.80865969338624,19.13706222028801,16.16061014393807,24.555554615495,19.985339203080816,22.84345856366885,24.800982552249767,27.366562735222615,17.36258673016276,18.01900487637786,13.314841453410478,22.526336124924345,24.687246114448364,4.371868809796566,3.720015369446344,16.386479648727377,15.641948603610164,5.775486548676051,6.547535855666629,17.354771382686767,21.01302208882881,23.243772027382484,21.959030606307792
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,AE,A,SAF,SAEF,SAEF,2.6666069517466218,3.569678604716317,1.1224749602207424,0.23228563928627974,22.6370471328196,21.805549586720687,11.364852897284724,12.484987355133725,19.73423195837245,16.754476723414488,17.79776463292687,18.662527298089188,7.056002475308043,4.404827967193933,27.86884544232183,19.458781310126597,22.821285369903638,18.29581310772288,21.185764015748695,23.995415980035414,19.82331336123034,19.277470014169793,18.36489097710778,13.471925932275944,22.071997256287105,13.659342616815124,2.7291052064646744,2.3424642444064423,16.42728605924519,18.73619993265667,6.345613420777484,8.250932535838068,17.82658665165633,18.371432733388374,24.653723377033607,23.315290246416666
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,UH,OE,VUHZ,VOEZ,VOEZ,0.513021332041042,3.257312924636367,1.8142923938638535,1.2524386808858787,19.267833663790473,20.32894598246185,11.557676617981155,13.217186612248957,22.920200999255382,19.117734109541104,17.98404909444172,21.813054692424814,13.673075354472276,16.78554360343099,23.087595020743418,21.596572953742204,22.651103211902704,25.09775020161443,16.16169224410921,17.937453871679857,22.64551539609297,24.26214838016994,16.472883586771353,13.082297051639754,20.497988546972625,23.009671028142186,5.712983135647817,3.700053963939885,19.66711200083397,14.983934379919358,6.138000995289279,4.887968163238465,19.914713963481418,21.595401999793744,17.853116561071563,20.73987527959819
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,UH,Y,VYB,VUHB,VUHB,0.5046785322471422,0.3484103059733376,0.9790040839733474,0.6994614178571935,19.12983862650136,17.493777409980275,11.028502163190268,13.163802678347276,18.54701986793325,30.487609864990993,17.927027797945275,17.858505087243636,8.81209523799474,6.544751815716494,23.054610023802965,19.66910936132648,22.780767514190778,20.3134546098412,24.746514330441094,19.88384081775414,22.590781971441704,24.277934976942092,21.169166668451698,18.584340431441905,21.121022313580507,22.530162438659385,5.68818325644205,3.6272229011210824,14.15226684026423,14.154691772680172,4.975336771788269,8.159535873709647,19.208638219811448,22.536817556355423,22.37238936142643,21.826912457039295
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,UH,A,SHUHV,SHAV,SHAV,1.5478208050844864,1.344448698531074,2.2253595976294354,1.376025166500748,20.20115946437343,19.136673160705175,12.181639069874924,10.339518698295661,18.32859864045727,17.989139234167908,28.297500792999486,18.22182408871033,9.997435097916526,9.936393793095169,22.19178058303854,21.020289148718284,22.433842070499985,22.465041688369126,20.19040906536299,22.011537012544075,23.968256517926143,23.244250060397135,18.886092757276536,12.494165628418614,16.330879027256152,16.98446671630834,9.444419036215345,4.792330939283109,22.388836032216922,19.617305858054046,7.071087265766837,6.404651961048331,25.161397412480515,19.577389548174942,24.4979869972449,19.730491299525305
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,IH,Y,ZYSH,ZIHSH,ZIHSH,3.2611308995555413,3.769914961578166,2.2207153781683355,1.5981976370519893,17.411277283680914,20.48453242636163,12.425988584175402,12.340929148522319,25.030488649863823,27.706756927489746,19.794757838429927,22.529707774249797,8.300510559110698,11.422131987997984,24.627359205977484,25.74166025976137,25.549705213286572,18.621622782360344,20.574507436227705,22.176165811731217,19.915543147399266,22.194128744828635,20.409675529938305,19.673272274354535,18.361249317645353,18.36118751101467,4.017298701359581,3.680626921477856,13.886188092374393,16.301247171474586,4.4884170937509476,5.239026025131792,21.58960169197772,16.257491679452265,20.82194919654778,15.191437643440613
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,AE,OE,SHAEV,SHOEV,SHOEV,2.1936504736253615,1.210927876413841,0.18180112037162185,2.621784982366162,22.293823097068508,18.290107158046418,8.396080094391595,8.663275452888797,27.364865718817914,15.925209726259666,21.718188640923238,9.69522827622686,6.122928915398548,5.751569128232566,22.52109119724228,13.207972234202488,24.10549624516141,21.39254763879363,23.094168598658978,16.15224803266747,23.88651913937121,17.907462292361792,22.929665880677938,12.265691004185797,18.47061057772591,17.047435544572192,3.9441878307135236,3.712564859130241,22.12034332265817,17.65361646181633,10.867146147493603,6.046794004692477,20.11806923167137,24.815354356395932,17.887772613566383,17.40527947910057
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,AH,I,SHIB,SHAHB,SHAHB,0.740099194879282,0.28780568756361913,2.2626555446126555,1.663690419968863,22.761324095591267,21.95177690663056,10.34515822945891,11.713199138754117,31.945013657454645,25.92349083454753,19.838739865909076,18.248276175233887,10.727085090498427,7.6198104999429015,15.069981048066586,20.5922405837192,19.419281007778185,21.33545130267346,20.47614777988232,21.661249035401916,20.963783618878583,24.944728168763397,12.704632643990285,14.8425530644376,24.68212126210822,15.484252439506678,7.004400233492527,6.6125425730500345,12.263075317240542,11.582165820984276,9.113208641997815,9.456542163642661,22.76449995383861,19.50943538893678,23.675208285588937,18.875281343358964
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,UH,U,ZUHD,ZUD,ZUD,0.18183114463588432,1.4088119320071224,0.004425675625980631,1.210732217825339,21.424329743408634,16.63215240113837,18.962134371565018,10.835578095101807,24.638599503406677,18.554663113808456,15.82168820570636,15.376383297544894,10.957028095940696,7.783915175782008,17.95008984330456,20.585837665938666,25.973070045190433,19.159657836551197,22.028852626711423,17.233619054371395,19.521622511836863,18.50308163658982,14.402592982261307,12.325055889107722,18.59056992207829,21.907276746633013,3.2607986671052647,4.511376625163964,19.158134335615724,16.60945892543734,8.060063923297985,6.985669826110788,20.399119561527268,18.107480922477826,21.271534680684052,23.729495511270187
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,AE,O,ZOD,ZAED,ZAED,1.3206961682386076,2.1755938056206596,0.5512015066692296,0.5675869175379079,20.058558842717318,11.809046113421273,11.046172716039509,13.687562180274455,21.136016650967285,16.295365354757728,16.02469721348408,13.142072934303993,6.825584538722241,6.632274770588124,20.668530425133785,16.906363479416967,15.904897601441654,18.786790333311583,18.289599046166714,18.442432718340246,18.223296302335914,18.96356260243125,17.582893126949212,12.331669146045327,19.645601884320076,22.28003628534076,6.3711690795261475,4.429303274139577,12.401504613027242,26.379665114230672,13.618127603672317,4.519440161555636,18.291154866217454,22.907109115231375,19.632849213450815,20.232683255688546
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,IH,Y,VIHK,VYK,VYK,2.7414757051182943,0.7041847541536019,0.918886301620838,1.1647907695449422,20.43153223859707,21.302545085575627,10.943848170170291,11.440640081800204,28.668527756879925,20.233387927602486,17.589487796345573,19.223191509295145,10.380357597755026,8.537445358409025,27.73415637390528,23.28365538696285,15.374776073567524,17.307790033653706,20.718787203402336,16.728822974939277,19.323309183243804,16.835360552151105,16.26274193203121,15.900790548881476,22.621014661599496,27.39005224599353,3.9358803465443173,5.051414699283602,17.798958255652206,14.648404760056739,6.5217734873172315,7.523597677995995,21.150156319122598,17.925777641298605,20.97476949040905,19.570520342510942
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,AH,U,ZUSH,ZAHSH,ZAHSH,0.9690287458074566,0.9585796415638766,2.0351388503368875,0.6262775152684682,18.703371727362097,16.474320930375303,6.714175225082866,8.838171907372505,18.50936389067171,17.39503848148061,14.276392383223639,20.520699648641827,8.497723580729346,9.881401647825847,22.62741907202506,18.929569005984373,21.02678915377331,17.27252397849338,16.47245525062206,15.045735683985932,19.630933781296388,17.453852625595268,17.764995832183498,15.826785509242798,16.048010773760392,22.71108969593894,2.7578091477354727,6.024842486070802,17.725402622724044,14.56195465655724,9.449953254479396,6.829725292130439,25.335071112026117,18.94133898333008,24.100207791888785,19.006699361083342
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,IH,A,ZIHF,ZAF,ZAF,0.24035862077959266,2.995531458418314,1.6710671331863085,0.7086365160402758,22.661440106313268,21.068558670637078,8.177186348731459,12.652680805595669,30.775495660061768,19.745356269525573,15.305212384217585,15.475024162183914,11.37833286292213,7.3453731800908395,24.278436509613233,20.204880921826614,19.787998598296575,21.54623639120315,21.872418037874574,22.61608936906202,23.85313804935001,18.186757654965024,17.91665762294817,13.93124412734925,19.661669881909297,20.416238398641728,6.171708158823622,4.935519501880091,16.409815530329773,17.675337301362728,5.436337588314189,8.59174958244912,23.900671137428112,20.38389649649836,22.864364481762532,26.69086472869144
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,UH,A,ZAV,ZUHV,ZUHV,2.016746777130916,2.0167593610760393,0.7750309311222807,3.815100126693348,20.01280152840511,22.593169798638147,9.312016181130963,16.66610316016827,26.61582316100088,19.173355218930634,21.75020226682632,21.017826064404694,7.913085852802534,12.725466426951764,22.48194569442462,22.00540276605776,24.320044422118592,26.605561925982705,27.89483112030755,27.568784108212228,22.157707549574933,28.085267834213155,13.018910263103283,17.52217971975904,16.930619974369876,24.53997659663646,3.096729453171223,1.8887013294136097,14.598307671612735,19.619524587483756,8.507155824664983,8.21039872321162,19.242540588483866,18.11149219067951,18.341295504316957,26.33164511406095
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,UH,Y,ZUHB,ZYB,ZYB,1.0177354326137031,1.6383492618762974,1.788340484602064,1.517417587570696,21.575583332917116,21.479515553770778,11.02121868101415,10.89122098885523,20.3387466224983,18.791098364217312,21.56754467197604,17.54090452305451,8.054274904680845,4.475058372027321,21.03154558636368,18.759999268999973,25.302391523284534,17.457239583186954,20.179368828238367,23.844377937991194,22.916236237754948,23.554669342450655,14.899098145927423,19.24379576031399,18.603215560003328,23.28907067025831,4.7971073148538315,5.4182731758268625,18.93461819687805,18.526035202727932,5.334448547946606,4.244050785155598,22.643808646083475,22.41039895716004,21.383660704352764,16.640453678018655
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,AE,Y,SHYS,SHAES,SHAES,1.0127265745382465,4.43857378872378,0.2732107527126396,1.075176892922769,17.985471417828276,18.850533167932497,8.599190073611632,11.371060255401748,20.423951384345514,21.24375400356063,16.717279680475638,15.117294615104205,8.067516356200114,5.863373599816162,18.7813938627851,18.003053809208403,15.241434065445087,10.207328229140984,21.802118326221592,15.631723107382674,22.870185773668823,17.775833749023462,13.84536462833042,13.649060220543845,18.61921343273124,15.634764008277731,6.353404695316553,2.056889515228368,13.901857992040421,12.617902374120648,6.485545215011573,5.096168920138143,22.65974834995774,20.283106183675347,21.978703459897066,17.637534836719727
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,AE,OE,VAESH,VOESH,VOESH,2.563403666753518,2.5312090173888526,0.12072212813813715,3.016263964886212,18.861657267757582,18.1247252523773,12.90002330112925,13.81587441847202,18.92488267148029,19.982762482221975,13.927803341063411,17.539048663061475,10.32334178487646,11.101945024991354,20.6570857437938,18.915002343099747,25.815342043044666,22.38616347806155,22.88384205983584,20.133658160853003,23.54925608716241,18.331886635297213,19.47571848247508,16.80248919485886,14.967845218368117,20.453503125894073,2.5540737184305926,4.679646742083402,16.876663323301443,21.52209663056756,7.835745967425653,9.637792811146843,22.056642720985664,20.046704527663042,19.054764941263468,18.123774329190955
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,AH,I,ZID,ZAHD,ZAHD,2.8253022281398934,1.01582521092414,1.1594082537300492,0.9359007079794629,23.707129698574928,16.871743913536644,14.182545993974754,9.67625395529373,21.419879624976748,16.361968767655664,17.15316701079428,14.499277036150632,12.93640347878291,11.118156490016538,20.8516857236626,19.106945276892112,22.367486382233782,19.54114880549025,20.00552112931543,22.160639147570308,22.469283052845423,20.98304898771121,18.08416538827068,20.816356789194167,19.945224408694717,20.377233670448145,7.2985660733887965,6.0863675282608245,19.009638367983115,16.232978169271863,5.618387169558662,7.861179411128429,21.101795911936414,13.874314873504437,18.801908929089194,19.04273378534411
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,AE,E,ZAED,ZED,ZED,0.00010535817968728745,1.640786623548805,3.985893310869019,3.4926179501764123,19.52136430202917,18.69631998574318,8.426930348363957,15.332735093206436,20.860579330212644,21.099156982877187,14.736817924090902,19.94410784561767,6.377009219548354,7.805278401611073,19.563898501266877,18.610187301303775,27.012258121697787,19.318223230832636,20.189590120567267,18.278113007656735,21.453156414079995,20.123319419353574,16.230770455152026,11.029102109624224,16.201994587637646,19.552118216324853,5.708207463797505,2.100391564273539,24.092696932866502,15.59255865827722,10.71044065208471,6.111547024555029,16.86897736635169,18.066619381263955,19.605469538563344,17.77730538157015
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,IH,A,ZAB,ZIHB,ZIHB,0.1919447981596596,3.8234825501656076,2.3291203691270765,1.83373837833932,20.012868989971892,17.811050842363194,20.24547519554049,10.839001357215059,25.05995129681983,19.982727300052655,13.840807986572575,14.445653976711386,9.481171887212117,7.302873672131279,18.858761769748124,22.194289825434442,28.710351113292575,20.99530997980113,16.937440499392558,19.380815699380264,17.151913158296033,18.966038248770474,13.42008740122006,15.100695177139057,20.934287570077476,21.389218266415146,1.89083964962125,3.711345889077086,16.59476204721514,18.23966811357614,6.091817448071938,5.5970362060854955,16.736985065611155,20.609085142334205,20.22263369390158,23.671586321429846
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,IH,U,ZIHB,ZUB,ZUB,0.31571042077946554,2.243013937167621,0.9597509256988442,0.43972870580313833,24.01148642118716,20.800051875160225,10.723859727771991,13.47420213518224,24.66466891400357,20.42815222414992,20.631591244768376,17.927878322502135,13.0914545377647,10.780075651452014,22.74863425462278,23.423154242314645,20.12987228723734,16.936319022909217,24.574527589312922,23.777379389788706,21.436307884360158,24.43080886396533,17.549752658327876,17.900025347964903,22.31432661439564,19.00930112854186,7.8841714972732735,5.013450596957467,15.980863724091611,17.85387011474395,7.939009679832036,5.784930925856281,20.05772388730167,18.234467964297934,13.212245314271108,22.32298482745524
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,AH,E,VEG,VAHG,VAHG,0.5560283366283312,2.532090414002837,0.27303714588745936,1.7944504435701687,23.898994064244278,17.924396131958304,11.247973476886248,10.537000768245122,25.524564983057925,19.101846128589333,18.04090872413593,15.399295493216535,9.000179232727923,7.394501225989216,21.945734089459908,19.95473504786083,21.95084427693502,22.74297508279884,17.75952624111228,17.628978228514402,24.48295225019907,15.940769204670994,16.629003371195463,14.461539041503727,13.608611911105939,20.208738989508024,6.180281798024637,4.657141181683734,17.131687460304374,9.421441377319846,7.177235976806024,3.2161270992693947,14.10379835607696,15.451137927307506,20.447704969987416,20.141196708182196
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,IH,O,ZIHF,ZOF,ZOF,0.5876484716505297,1.0092195364374263,3.3527031398015894,1.712016374095691,19.281885560093475,21.65781930745472,11.663359327574565,12.270934902445415,19.157152902416435,19.2392951640278,18.960337973885853,12.743839178435548,6.674393358548636,8.189800329660674,21.143218324185504,17.592562347400385,23.9599596215783,16.816372946354964,20.586782154987766,15.05852442941827,23.130514484546364,16.674351280462638,19.2207749615132,11.30213227516558,13.523348535826837,14.203616876951443,1.077330637739745,1.7356658797490787,14.67211851728827,12.482976619734226,6.107710146847122,5.976973686011047,27.57332506375384,19.567391012884492,24.088381981238815,19.035559837741488
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,AH,OE,FOEP,FAHP,FAHP,1.5535521026894092,1.0999334310221425,1.620436485899365,0.4263007297735407,25.339073659631165,22.900673492823376,8.24267259751891,14.384544184330602,26.313413385799688,17.04927767448089,21.799236976719353,18.127750267521204,6.711835444839423,13.112201832558547,14.966471775024166,12.13973812869923,19.97189441406433,26.2165018474404,23.496269865577812,17.937122384838066,22.749527005782028,23.556063476555035,17.382521786032957,16.072372606114538,21.984302545723686,21.38886764554181,3.8592601301816183,7.088412723436891,17.56486998842362,16.310782926575097,6.456679738360664,6.489808189976261,22.97182508015763,18.442875836639598,19.671625936761284,17.487683956631116
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,AH,OE,ZAHD,ZOED,ZOED,0.005834898026232296,0.9956911394303942,0.3591244387584186,8.507702220430025,28.205577204701505,21.987317370458765,7.704102274141497,14.880925193274546,23.469534828028742,22.673646313372643,12.580901622540386,16.78015152254216,6.689322273684026,9.032258278907532,28.905206235559362,18.269225484278724,23.032032025862527,20.17592736849669,18.86656442854072,21.17825566071504,20.051228312109824,17.40019013251691,18.668621152474188,15.421571036830864,21.02066639010415,24.134478852687653,5.249728303385477,4.399167215976434,18.32418075579861,14.936682866458192,7.379404427802206,8.355201253205363,20.13768722820585,14.473142941710176,23.790909440988333,18.50061309065282
