CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,ZEF,ZUHF,ZUHF,7.545256911599796,5.556778640282286
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,VAEB,VAB,VAB,5.739219384080653,4.899557694388142
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,SHOES,SHIHS,SHIHS,5.498283530734006,0.871907716871869
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,ZIHSH,ZESH,ZESH,3.639151165963407,3.4195772253333354
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,SUG,SIHG,SIHG,8.83513862607024,4.093267393147822
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,VIHK,VOEK,VOEK,8.290394235228895,5.3886810354699035
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,SAF,SAEF,SAEF,4.2039859333112695,4.049877356207268
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,VUHZ,VOEZ,VOEZ,6.976961589842994,6.21775464520797
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,VYB,VUHB,VUHB,10.336610308772588,3.9733884448294328
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,SHUHV,SHAV,SHAV,5.936930195616416,3.7667528832547896
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,ZYSH,ZIHSH,ZIHSH,6.013382791427513,6.658328816983211
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,SHAEV,SHOEV,SHOEV,4.3149469448826085,2.6418339618057547
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,SHIB,SHAHB,SHAHB,5.132679095613576,3.0583680102526922
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,ZUHD,ZUD,ZUD,6.6455131843675765,3.6257480770633723
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,ZOD,ZAED,ZAED,6.739638656507756,3.610554475122399
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,VIHK,VYK,VYK,7.8913963952511885,4.149747312877446
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,ZUSH,ZAHSH,ZAHSH,5.146945249590538,4.326488770506852
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,ZIHF,ZAF,ZAF,6.508349532321098,4.389872686007846
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,ZAV,ZUHV,ZUHV,5.394905321824937,6.410263175232124
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,ZUHB,ZYB,ZYB,7.169138908776414,6.54585396749255
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,SHYS,SHAES,SHAES,6.879877222230046,1.6453816932079313
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,VAESH,VOESH,VOESH,4.962845075832578,4.848808565463259
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,ZID,ZAHD,ZAHD,6.543688619628253,2.309876464421012
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,ZAED,ZED,ZED,7.51817808793054,6.217280363431077
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,ZAB,ZIHB,ZIHB,7.577826916333852,4.053440330491962
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,ZIHB,ZUB,ZUB,9.805763918409564,5.793644215881857
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,VEG,VAHG,VAHG,7.751228686334367,3.560479005269441
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,ZIHF,ZOF,ZOF,7.027465283899822,3.4809736039550354
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,FOEP,FAHP,FAHP,3.7792837474256773,3.323111975021125
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,ZAHD,ZOED,ZOED,7.175285152026286,6.493726294376336
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,ZOEV,ZAHV,ZAHV,5.214804109686425,2.9234012534125773
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,ZAESH,ZISH,ZISH,7.1877375093737,3.929763853955181
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,VOEG,VIHG,VIHG,9.40622713834564,2.384408335109051
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,ZAHV,ZEV,ZEV,5.056620279002504,5.039973228042855
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,FUP,FIHP,FIHP,7.2410049051392,3.3638442370531
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,ZIHS,ZOES,ZOES,4.354392784061319,2.576312709814202
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,VIK,VUHK,VUHK,6.3771894283137245,4.430895605442393
B,Z_G,maureen_eng_66,veronique_fr_67,marc_fr_64,maureen,veronique,marc,triplet38,AH,I,I,ZAHG,ZIG,ZIG,7.097487443086103,4.453837892338411
B,V_P,veronique_fr_14,maureen_eng_14,ewan_eng_14,veronique,maureen,ewan,triplet39,U,UH,UH,VUP,VUHP,VUHP,5.737879545271126,2.4076463350951647
A,Z_V,maureen_eng_52,veronique_fr_151,remi_fr_150,maureen,veronique,remi,triplet40,AE,O,O,ZAEV,ZOV,ZOV,8.766553566038557,8.016039593800537
A,V_Z,veronique_fr_145,maureen_eng_54,ewan_eng_61,veronique,maureen,ewan,triplet41,OE,AE,AE,VOEZ,VAEZ,VAEZ,6.036612326926262,2.5361338473694057
B,V_SH,maureen_eng_236,veronique_fr_64,remi_fr_65,maureen,veronique,remi,triplet42,IH,E,E,VIHSH,VESH,VESH,4.380454611573814,1.6498086141947477
B,V_G,maureen_fr_81,veronique_eng_215,jeremy_eng_226,maureen,veronique,jeremy,triplet43,I,IH,IH,VIG,VIHG,VIHG,5.722819019551494,4.718045252428118
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,ZIHF,ZIF,ZIF,2.5088225643801567,4.899992663878529
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,VUG,VUHG,VUHG,7.382548695402662,2.8436871790327767
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,ZAEF,ZYF,ZYF,10.024702729503511,3.988032408996869
B,S_G,maureen_fr_222,veronique_eng_67,jeremy_eng_70,maureen,veronique,jeremy,triplet47,A,AH,AH,SAG,SAHG,SAHG,5.162842172961805,3.167102411407475
A,Z_F,veronique_eng_104,maureen_fr_169,remi_fr_161,veronique,maureen,remi,triplet48,AH,A,A,ZAHF,ZAF,ZAF,3.891900994791739,3.7625211724784173
A,Z_S,maureen_fr_153,veronique_eng_93,ewan_eng_98,maureen,veronique,ewan,triplet49,O,AH,AH,ZOS,ZAHS,ZAHS,2.0747953790505074,3.791882367883809
B,Z_S,veronique_eng_93,maureen_fr_168,marc_fr_158,veronique,maureen,marc,triplet50,AH,A,A,ZAHS,ZAS,ZAS,4.080206854260042,4.170269109236899
B,Z_F,veronique_fr_21,maureen_eng_50,ewan_eng_51,veronique,maureen,ewan,triplet51,U,AE,AE,ZUF,ZAEF,ZAEF,10.41373106088527,2.7079280095060345
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,SHAHS,SHUS,SHUS,7.57431112341782,4.876339703379829
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,ZOEG,ZUHG,ZUHG,7.6547560932495085,3.6148309952786146
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,ZAEV,ZIV,ZIV,11.334385338570826,8.17585626681045
B,V_K,maureen_fr_15,veronique_eng_72,jeremy_eng_74,maureen,veronique,jeremy,triplet55,U,AH,AH,VUK,VAHK,VAHK,7.098194008046244,5.153737163123879
A,F_P,veronique_eng_8,maureen_fr_205,marc_fr_199,veronique,maureen,marc,triplet56,UH,O,O,FUHP,FOP,FOP,2.9709810911587105,4.459976014923713
A,Z_D,veronique_fr_83,maureen_eng_68,ewan_eng_69,veronique,maureen,ewan,triplet57,Y,AH,AH,ZYD,ZAHD,ZAHD,5.486895060449871,1.8477904495554278
B,V_G,maureen_eng_76,veronique_fr_16,marc_fr_11,maureen,veronique,marc,triplet58,AH,U,U,VAHG,VUG,VUG,9.556603119707946,5.066325009584582
B,V_B,maureen_fr_198,veronique_eng_43,jeremy_eng_46,maureen,veronique,jeremy,triplet59,OE,AE,AE,VOEB,VAEB,VAEB,7.595037304514566,4.4109900720286195
A,V_P,veronique_eng_86,maureen_fr_96,remi_fr_91,veronique,maureen,remi,triplet60,AH,Y,Y,VAHP,VYP,VYP,6.512681400013207,3.528246983703712
A,SH_V,maureen_fr_65,veronique_eng_115,jeremy_eng_119,maureen,veronique,jeremy,triplet61,E,AH,AH,SHEV,SHAHV,SHAHV,7.73489486951485,2.8232075914039125
B,V_Z,maureen_eng_54,veronique_fr_157,remi_fr_156,maureen,veronique,remi,triplet62,AE,O,O,VAEZ,VOZ,VOZ,7.751086680896198,4.021478125520805
B,Z_F,veronique_fr_132,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet63,OE,UH,UH,ZOEF,ZUHF,ZUHF,7.627330676581443,5.556778640282286
A,V_B,maureen_eng_227,veronique_fr_215,marc_fr_215,maureen,veronique,marc,triplet64,IH,A,A,VIHB,VAB,VAB,11.382062272825879,4.036009265671834
A,Z_F,veronique_fr_52,maureen_eng_50,jeremy_eng_50,veronique,maureen,jeremy,triplet65,E,AE,AE,ZEF,ZAEF,ZAEF,5.719544542862983,3.791915288036039
B,S_G,veronique_eng_6,maureen_fr_204,marc_fr_198,veronique,maureen,marc,triplet66,UH,O,O,SUHG,SOG,SOG,3.911516566968558,5.027913787542651
B,V_B,maureen_fr_82,veronique_eng_17,ewan_eng_17,maureen,veronique,ewan,triplet67,I,UH,UH,VIB,VUHB,VUHB,9.413851641789966,4.622849518341467
