CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,ZEF,ZUHF,ZUHF,7.093344055071568,5.080107970330329
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,VAEB,VAB,VAB,6.440598811114534,5.924885023031499
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,SHOES,SHIHS,SHIHS,6.84452828338432,1.546143230324155
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,ZIHSH,ZESH,ZESH,4.099161451973596,3.620398863522256
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,SUG,SIHG,SIHG,9.894606340839669,4.409353415754473
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,VIHK,VOEK,VOEK,7.502509477740467,4.946199787588278
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,SAF,SAEF,SAEF,4.104873161292891,6.26486923743149
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,VUHZ,VOEZ,VOEZ,7.8888667831753585,6.4628530663884085
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,VYB,VUHB,VUHB,10.832527643287877,4.134301005604585
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,SHUHV,SHAV,SHAV,6.06930448510259,4.156993069866286
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,ZYSH,ZIHSH,ZIHSH,6.298360884301063,6.120636139264506
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,SHAEV,SHOEV,SHOEV,4.444783220968473,4.961397640442267
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,SHIB,SHAHB,SHAHB,5.912530930881392,3.7231532860838863
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,ZUHD,ZUD,ZUD,6.515991433260861,4.259191886367443
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,ZOD,ZAED,ZAED,7.507315075656827,4.775657563602353
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,VIHK,VYK,VYK,9.2754421804818,4.951981115357936
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,ZUSH,ZAHSH,ZAHSH,7.284169521131664,5.2188119620943745
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,ZIHF,ZAF,ZAF,6.75808192756187,4.806665122716069
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,ZAV,ZUHV,ZUHV,5.964476822906654,7.201927412575075
