CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,en_2_kmean_oth_x,en_2_kmean_tgt_x,fr_2_kmean_oth_x,fr_2_kmean_tgt_x,en_500_kmean_oth_x,en_500_kmean_tgt_x,fr_10_kmean_oth_x,fr_10_kmean_tgt_x,fr_1565_kmean_oth_x,fr_1565_kmean_tgt_x,fr_61_kmean_oth_x,fr_61_kmean_tgt_x,en_10_kmean_oth_x,en_10_kmean_tgt_x,fr_500_kmean_oth_x,fr_500_kmean_tgt_x,fr_6000_kmean_oth_x,fr_6000_kmean_tgt_x,en_611_kmean_oth_x,en_611_kmean_tgt_x,en_6000_kmean_oth_x,en_6000_kmean_tgt_x,en_42_kmean_oth_x,en_42_kmean_tgt_x,fr_100_kmean_oth_x,fr_100_kmean_tgt_x,fr_5_kmean_oth_x,fr_5_kmean_tgt_x,en_100_kmean_oth_x,en_100_kmean_tgt_x,en_5_kmean_oth_x,en_5_kmean_tgt_x,en_1000_kmean_oth_x,en_1000_kmean_tgt_x,fr_1000_kmean_oth_x,fr_1000_kmean_tgt_x
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,UH,E,ZEF,ZUHF,ZUHF,2.109093903787139,3.5346028199849315,1.7481326234729249,1.4022712291336126,26.72683930333361,26.953069749470536,12.281865956311721,11.390765728071289,19.527408069677385,22.569573667736144,13.416704502745993,22.86632216471046,14.705859595124945,10.90029730988529,16.268512101511153,22.500497305238994,25.510682298839754,21.54112907231644,17.037050432847334,14.810595190905511,19.651637681278718,19.779216006414227,14.406176219014029,17.733342230840197,24.586511268238823,22.815372905718238,7.860727642721267,6.982339523505379,19.199425363876454,19.807489990611614,7.2109103000497505,8.437881254741919,23.017300270187377,23.89513445250853,26.727896849699338,24.356523234694453
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,AE,A,VAEB,VAB,VAB,1.6300406920772588,2.049670250169104,0.49072190944441546,1.6109745323102105,20.533946172457526,22.064386605392585,10.488292077925175,11.803983591680367,19.321065229949628,24.416978560844058,18.563155322547225,19.99220880581675,8.984811829010871,10.731647908790729,19.48736276416147,22.141482466934363,19.81389081999866,20.866948486755174,18.87211316063463,22.235614479487886,22.310067977703135,24.303140171039328,18.20710227029071,15.037969341841997,16.71471401554991,15.791318173040834,7.297545840118032,7.34564802503849,18.986159275311703,21.16428800916454,11.820508191459341,10.327441744937843,23.672479420746434,19.417551918898535,22.48487400202413,20.841431942521222
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,IH,OE,SHOES,SHIHS,SHIHS,1.016467557852623,1.9883320935887343,1.857684750881684,1.121328756208302,21.39562737010921,20.055879955208134,11.100528169792442,13.45975251742607,22.619618613854076,16.842433980888497,15.476861491190844,19.323588280165016,9.16014627446355,10.082100546279145,19.459657544525797,18.198984766265337,18.338014622951498,18.746179337352498,22.85049334022692,24.91507739976513,23.962717213641714,23.23899324784433,17.83325147448522,18.312738129392798,20.207192344862186,16.49123618216781,7.758058638347546,8.32973114531609,21.637457608603235,19.85602838728264,8.144306552810399,7.475227912294221,20.04593265584473,22.375262391924892,19.799184312383733,16.635227958422412
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,IH,E,ZIHSH,ZESH,ZESH,0.8664334649732606,0.7425632410237688,2.066019783027986,1.940276979450701,19.596045050777757,20.58624410554713,10.960027852208158,10.556658592795817,15.86848110501609,20.162116067366245,15.941194945219946,19.104190763822135,6.676103878532771,12.019219728110413,18.98147410287697,19.672629810487702,18.24341994036193,19.271270446626595,16.12002120097962,18.886642676136024,23.516319559411563,21.258370214006348,17.262823477173054,15.785561095762802,16.213639098053598,20.87533891045388,8.828940822168528,6.1646594880666425,13.383349320372014,15.058072287444581,9.077536571116163,6.927652738489851,21.63854685040841,21.18169017458254,19.627838292930488,18.087525747642207
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,IH,U,SUG,SIHG,SIHG,0.5796199510998941,0.6782747514003717,1.1607059477800001,1.2263205376215796,21.10468852882601,23.968449028748953,13.54962231868469,10.749805169580153,23.436278657023898,20.809269922734206,15.947032076374828,15.947373205149956,9.025293731976706,5.3786042322067065,23.16883140827969,24.544892669317726,22.743188986789256,26.309145755112556,19.584774383463326,19.784884952837885,21.43083543192046,22.89499506913,20.857210470439874,23.578853177983067,18.018865001150825,23.356716639607384,7.868403139486598,5.443664706035918,19.844453289952956,17.967089586342105,9.375724458546228,8.465593308743312,15.61001264360264,21.096994761060177,15.902806560404485,23.022154208549683
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,IH,OE,VIHK,VOEK,VOEK,2.363545297786651,0.43970189351710764,2.161039822992412,0.2651330155375114,20.867261281015683,23.343162920590817,9.966741696856337,13.239769279686495,20.91905269449744,23.145132413950126,18.896173316579578,20.234305080597146,9.949700978741124,9.180815710916027,23.23437801691863,19.260210160834664,22.739537142130466,23.799771683647165,17.86777468910863,17.241278329893213,21.32065578333127,21.162105691950444,19.384908455456568,19.29501199444,25.75529449954225,21.59561213364693,7.30171272061708,7.748252201826014,15.60727914384952,23.25992498441383,6.279939483308036,8.123927032954201,25.316209966710833,26.904145768647812,21.737501869764348,22.038285444583728
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,AE,A,SAF,SAEF,SAEF,0.36898418773733604,1.7108363156000674,0.57353789484673,0.33555882148253807,24.376567424015644,22.567890690612593,12.717923477321657,13.15576984689605,20.971569281599265,23.910237012016008,25.200944242446255,20.692466977531364,11.570635417940766,11.09371510939322,20.759236896269154,18.70642623947386,24.716217015035685,23.329062928702726,22.14669920367513,24.261729721141013,25.193444110830345,19.43628112309852,22.215543873130297,19.215592446247204,21.854074789171634,22.63989210263226,6.196944628389696,4.245474112883442,23.22170538539779,21.266892318792813,10.0456322453595,11.202371349790418,23.788932548018046,22.752475427577895,23.15758571174132,20.47821310618312
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,UH,OE,VUHZ,VOEZ,VOEZ,0.9780003677542192,2.3191975026750558,2.265705510027953,1.1865306153632318,20.08993189692349,23.739643562281213,10.51678278347298,12.565043395383425,20.10033125827077,23.77227855894879,20.952961901253126,17.53101018144174,9.610401430009057,8.760984794244042,21.77958733231541,19.918652660728135,20.56626327293505,20.297731089864737,22.238294348540798,19.063411014232152,21.845859399632435,23.239432053829972,16.45200685728534,16.300718409561224,21.493718672780364,26.233257783622907,8.441221717695099,7.2989400561360664,19.942607103548582,19.69996665793656,7.515962074240497,7.538454717092725,17.65730990982695,19.853347460454216,20.88126766624355,24.460474097423276
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,UH,Y,VYB,VUHB,VUHB,0.5739219280480625,0.7976027574171666,0.7287709345583936,0.899651247908162,21.321521280443367,23.06716739114144,12.101478061651108,8.636520298572485,23.58095078234903,24.469448397874746,19.891517970071455,19.378897202935995,7.597108304709187,8.418945003250414,17.98057091142903,18.10486576125292,20.520423588348518,25.61464036989418,20.631099321970783,23.783959708947634,24.64826558947445,19.155210661527345,18.84511883069177,16.5483334683104,21.808116950435696,19.09446470257684,7.684603409754595,9.966481413287905,18.828010299397313,21.039063409710348,9.483859819530874,6.9975748992828635,23.76301587409184,20.950572189668826,22.87928711957109,20.049327139850597
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,UH,A,SHUHV,SHAV,SHAV,1.515079477990977,0.8996198008405292,0.3238664352850235,1.350796404564239,23.385613162735666,18.683323921591555,10.921468002576216,12.001625769076298,22.63469582292457,18.379680138284236,20.211116082541448,21.946868525108602,8.618810059453775,10.513298370198948,16.29860800615263,20.84723113615636,20.085194847413213,24.100131192548847,22.10223731958353,20.873685845452606,18.03266254094465,23.29247220474765,23.370806935000747,15.708251914693461,22.797495443256018,22.265741047880528,6.5261777434534585,6.241271329289494,16.653352141329275,18.477902729171962,8.606901148383924,7.818237341581454,21.44273494331623,18.71342309058766,20.844727645505763,16.625269556676237
