CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,UH,E,ZEF,ZUHF,ZUHF,0.627439836456167,1.3314550613669565
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,AE,A,VAEB,VAB,VAB,1.2554558454722273,3.00747884819684
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,IH,OE,SHOES,SHIHS,SHIHS,0.4158621455780397,2.130841473781425
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,IH,E,ZIHSH,ZESH,ZESH,1.8029471954801288,1.6428384512493384
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,IH,U,SUG,SIHG,SIHG,1.3472250454877206,0.345795546956517
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,IH,OE,VIHK,VOEK,VOEK,2.918128460097888,1.9509329431542393
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,AE,A,SAF,SAEF,SAEF,1.398015663891149,3.6466964909945974
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,UH,OE,VUHZ,VOEZ,VOEZ,2.9956384768815094,0.8696682532641742
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,UH,Y,VYB,VUHB,VUHB,0.9078322585109453,1.6272216363325607
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,UH,A,SHUHV,SHAV,SHAV,1.90205923703935,2.0205809419192318
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,IH,Y,ZYSH,ZIHSH,ZIHSH,3.1163166061281977,3.742206002413867
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,AE,OE,SHAEV,SHOEV,SHOEV,1.6779403490556966,1.9030945044657614
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,AH,I,SHIB,SHAHB,SHAHB,1.6546961466948455,1.8805997043399798
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,UH,U,ZUHD,ZUD,ZUD,1.5737237261048567,1.161338716968262
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,AE,O,ZOD,ZAED,ZAED,0.486479149192217,1.7015007507454503
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,IH,Y,VIHK,VYK,VYK,3.6453777199470494,1.1164697092422522
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,AH,U,ZUSH,ZAHSH,ZAHSH,3.2482894309245514,3.9982618669031575
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,IH,A,ZIHF,ZAF,ZAF,1.9821082929770142,3.74129010678188
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,UH,A,ZAV,ZUHV,ZUHV,1.7329908209754687,0.4093076129047315
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,UH,Y,ZUHB,ZYB,ZYB,2.3298147430263585,0.9663237385568691
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,AE,Y,SHYS,SHAES,SHAES,0.4714117596346571,4.111242822196719
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,AE,OE,VAESH,VOESH,VOESH,3.00225948533322,3.525022117306561
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,AH,I,ZID,ZAHD,ZAHD,1.286198638213474,2.7733227624245202
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,AE,E,ZAED,ZED,ZED,2.637005965333005,0.40843441949164117
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,IH,A,ZAB,ZIHB,ZIHB,3.1162035549814613,0.9863859986314517
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,IH,U,ZIHB,ZUB,ZUB,2.332880626536701,1.8155857476468664
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,AH,E,VEG,VAHG,VAHG,3.8298181108022793,3.9673086771933805
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,IH,O,ZIHF,ZOF,ZOF,2.160277475041371,2.3237446655364282
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,AH,OE,FOEP,FAHP,FAHP,1.9853186709765172,2.543624064660025
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,AH,OE,ZAHD,ZOED,ZOED,3.6156919683201254,0.5928957394667328
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,AH,OE,ZOEV,ZAHV,ZAHV,1.6778842362112885,1.9012802508289834
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,AE,I,ZAESH,ZISH,ZISH,2.1656988449529684,2.8797999214879737
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,IH,OE,VOEG,VIHG,VIHG,0.9224289926694326,3.8628787075518742
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,AH,E,ZAHV,ZEV,ZEV,2.5617033800012776,1.0796246208201978
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,IH,U,FUP,FIHP,FIHP,1.0882554374009514,1.5199204629255039
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,IH,OE,ZIHS,ZOES,ZOES,1.9711554745461215,0.3356887377390424
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,UH,I,VIK,VUHK,VUHK,0.9292736997741149,2.83504350899605
