Bilingual_spk_EN,Bilingual_spk_FR,Context,Mono_spk,Order,Vowel_EN,Vowel_FR
maureen,veronique,Z_F,jeremy,EFE,UH,E
maureen,veronique,V_B,remi,EFF,AE,A
veronique,maureen,SH_S,jeremy,FEE,IH,OE
maureen,veronique,Z_SH,remi,FEF,IH,E
maureen,veronique,S_G,ewan,EFE,IH,U
veronique,maureen,V_K,remi,EFF,IH,OE
maureen,veronique,S_F,jeremy,FEE,AE,A
veronique,maureen,V_Z,marc,FEF,UH,OE
veronique,maureen,V_B,jeremy,EFE,UH,Y
veronique,maureen,SH_V,remi,EFF,UH,A
veronique,maureen,Z_SH,jeremy,FEE,IH,Y
maureen,veronique,SH_V,marc,FEF,AE,OE
maureen,veronique,SH_B,jeremy,EFE,AH,I
veronique,maureen,Z_D,remi,EFF,UH,U
veronique,maureen,Z_D,ewan,FEE,AE,O
veronique,maureen,V_K,remi,FEF,IH,Y
veronique,maureen,Z_SH,jeremy,EFE,AH,U
veronique,maureen,Z_F,marc,EFF,IH,A
maureen,veronique,Z_V,jeremy,FEE,UH,A
maureen,veronique,Z_B,marc,FEF,UH,Y
veronique,maureen,SH_S,jeremy,EFE,AE,Y
veronique,maureen,V_SH,marc,EFF,AE,OE
maureen,veronique,Z_D,jeremy,FEE,AH,I
veronique,maureen,Z_D,remi,FEF,AE,E
maureen,veronique,Z_B,jeremy,EFE,IH,A
veronique,maureen,Z_B,remi,EFF,IH,U
maureen,veronique,V_G,ewan,FEE,AH,E
veronique,maureen,Z_F,remi,FEF,IH,O
maureen,veronique,F_P,ewan,EFE,AH,OE
veronique,maureen,Z_D,marc,EFF,AH,OE
maureen,veronique,Z_V,jeremy,FEE,AH,OE
veronique,maureen,Z_SH,marc,FEF,AE,I
veronique,maureen,V_G,ewan,EFE,IH,OE
veronique,maureen,Z_V,remi,EFF,AH,E
maureen,veronique,F_P,jeremy,FEE,IH,U
maureen,veronique,Z_S,marc,FEF,IH,OE
maureen,veronique,V_K,ewan,EFE,UH,I
maureen,veronique,Z_G,marc,EFF,AH,I
maureen,veronique,V_P,ewan,FEE,UH,U
maureen,veronique,Z_V,remi,FEF,AE,O
maureen,veronique,V_Z,ewan,EFE,AE,OE
maureen,veronique,V_SH,remi,EFF,IH,E
veronique,maureen,V_G,jeremy,FEE,IH,I
veronique,maureen,Z_F,remi,FEF,IH,I
veronique,maureen,V_G,jeremy,EFE,UH,U
