Bilingual_spk_eng,Bilingual_spk_fr,Context,Mono_spk,Order,Vowel_eng,Vowel_fr,tripletid,Corr_ans,File_A,File_B,File_X,Stimulus_A,Stimulus_B,Stimulus_X
maureen,veronique,Z_F,jeremy,EFE,UH,E,triplet1,A,maureen_eng_21,veronique_fr_52,jeremy_eng_21,ZUHF,ZEF,ZUHF
maureen,veronique,V_B,remi,EFF,AE,A,triplet2,B,maureen_eng_46,veronique_fr_215,remi_fr_216,VAEB,VAB,VAB
veronique,maureen,SH_S,jeremy,FEE,IH,OE,triplet3,B,maureen_fr_147,veronique_eng_226,jeremy_eng_237,SHOES,SHIHS,SHIHS
maureen,veronique,Z_SH,remi,FEF,IH,E,triplet4,A,veronique_fr_53,maureen_eng_231,remi_fr_53,ZESH,ZIHSH,ZESH
maureen,veronique,S_G,ewan,EFE,IH,U,triplet5,A,maureen_eng_217,veronique_fr_6,ewan_eng_223,SIHG,SUG,SIHG
veronique,maureen,V_K,remi,EFF,IH,OE,triplet6,B,veronique_eng_214,maureen_fr_196,remi_fr_190,VIHK,VOEK,VOEK
maureen,veronique,S_F,jeremy,FEE,AE,A,triplet7,B,veronique_fr_166,maureen_eng_53,jeremy_eng_53,SAF,SAEF,SAEF
veronique,maureen,V_Z,marc,FEF,UH,OE,triplet8,A,maureen_fr_150,veronique_eng_30,marc_fr_140,VOEZ,VUHZ,VOEZ
veronique,maureen,V_B,jeremy,EFE,UH,Y,triplet9,A,veronique_eng_17,maureen_fr_100,jeremy_eng_17,VUHB,VYB,VUHB
veronique,maureen,SH_V,remi,EFF,UH,A,triplet10,B,veronique_eng_29,maureen_fr_177,remi_fr_168,SHUHV,SHAV,SHAV
veronique,maureen,Z_SH,jeremy,FEE,IH,Y,triplet11,B,maureen_fr_118,veronique_eng_220,jeremy_eng_231,ZYSH,ZIHSH,ZIHSH
maureen,veronique,SH_V,marc,FEF,AE,OE,triplet12,A,veronique_fr_144,maureen_eng_59,marc_fr_139,SHOEV,SHAEV,SHOEV
maureen,veronique,SH_B,jeremy,EFE,AH,I,triplet13,A,maureen_eng_73,veronique_fr_74,jeremy_eng_73,SHAHB,SHIB,SHAHB
veronique,maureen,Z_D,remi,EFF,UH,U,triplet14,B,veronique_eng_5,maureen_fr_5,remi_fr_5,ZUHD,ZUD,ZUD
veronique,maureen,Z_D,ewan,FEE,AE,O,triplet15,B,maureen_fr_203,veronique_eng_36,ewan_eng_39,ZOD,ZAED,ZAED
veronique,maureen,V_K,remi,FEF,IH,Y,triplet16,A,maureen_fr_98,veronique_eng_214,remi_fr_93,VYK,VIHK,VYK
veronique,maureen,Z_SH,jeremy,EFE,AH,U,triplet17,A,veronique_eng_94,maureen_fr_22,jeremy_eng_97,ZAHSH,ZUSH,ZAHSH
veronique,maureen,Z_F,marc,EFF,IH,A,triplet18,B,veronique_eng_219,maureen_fr_169,marc_fr_159,ZIHF,ZAF,ZAF
maureen,veronique,Z_V,jeremy,FEE,UH,A,triplet19,B,veronique_fr_164,maureen_eng_23,jeremy_eng_23,ZAV,ZUHV,ZUHV
maureen,veronique,Z_B,marc,FEF,UH,Y,triplet20,A,veronique_fr_82,maureen_eng_4,marc_fr_77,ZYB,ZUHB,ZYB
veronique,maureen,SH_S,jeremy,EFE,AE,Y,triplet21,A,veronique_eng_54,maureen_fr_126,jeremy_eng_57,SHAES,SHYS,SHAES
veronique,maureen,V_SH,marc,EFF,AE,OE,triplet22,B,veronique_eng_60,maureen_fr_152,marc_fr_142,VAESH,VOESH,VOESH
maureen,veronique,Z_D,jeremy,FEE,AH,I,triplet23,B,veronique_fr_69,maureen_eng_68,jeremy_eng_68,ZID,ZAHD,ZAHD
veronique,maureen,Z_D,remi,FEF,AE,E,triplet24,A,maureen_fr_40,veronique_eng_36,remi_fr_39,ZED,ZAED,ZED
maureen,veronique,Z_B,jeremy,EFE,IH,A,triplet25,A,maureen_eng_215,veronique_fr_208,jeremy_eng_215,ZIHB,ZAB,ZIHB
veronique,maureen,Z_B,remi,EFF,IH,U,triplet26,B,veronique_eng_204,maureen_fr_4,remi_fr_4,ZIHB,ZUB,ZUB
maureen,veronique,V_G,ewan,FEE,AH,E,triplet27,B,veronique_fr_47,maureen_eng_76,ewan_eng_77,VEG,VAHG,VAHG
veronique,maureen,Z_F,remi,FEF,IH,O,triplet28,A,maureen_fr_157,veronique_eng_219,remi_fr_148,ZOF,ZIHF,ZOF
maureen,veronique,F_P,ewan,EFE,AH,OE,triplet29,A,maureen_eng_71,veronique_fr_181,ewan_eng_72,FAHP,FOEP,FAHP
veronique,maureen,Z_D,marc,EFF,AH,OE,triplet30,B,veronique_eng_65,maureen_fr_184,marc_fr_175,ZAHD,ZOED,ZOED
