orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,1,ZUHP,jeremy_eng_1,jeremy,UH,Z_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,2,ZUHT,jeremy_eng_2,jeremy,UH,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,3,ZUHG,jeremy_eng_3,jeremy,UH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,4,ZUHB,jeremy_eng_4,jeremy,UH,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,5,ZUHD,jeremy_eng_5,jeremy,UH,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,6,SUHG,jeremy_eng_6,jeremy,UH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,7,SUHB,jeremy_eng_7,jeremy,UH,S_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,8,FUHP,jeremy_eng_8,jeremy,UH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,9,FUHB,jeremy_eng_9,jeremy,UH,F_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,10,FUHD,jeremy_eng_10,jeremy,UH,F_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,11,SHUHP,jeremy_eng_11,jeremy,UH,SH_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,12,SHUHG,jeremy_eng_12,jeremy,UH,SH_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,13,SHUHB,jeremy_eng_13,jeremy,UH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,14,VUHP,jeremy_eng_14,jeremy,UH,V_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,15,VUHK,jeremy_eng_15,jeremy,UH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,16,VUHG,jeremy_eng_16,jeremy,UH,V_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,17,VUHB,jeremy_eng_17,jeremy,UH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,18,VUHD,jeremy_eng_18,jeremy,UH,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,19,ZUHZ,jeremy_eng_19,jeremy,UH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,20,ZUHS,jeremy_eng_20,jeremy,UH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,21,ZUHF,jeremy_eng_21,jeremy,UH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,22,ZUHSH,jeremy_eng_22,jeremy,UH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,23,ZUHV,jeremy_eng_23,jeremy,UH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,24,SUHS,jeremy_eng_24,jeremy,UH,S_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,25,SUHF,jeremy_eng_25,jeremy,UH,S_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,26,SUHV,jeremy_eng_26,jeremy,UH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,27,FUHZ,jeremy_eng_27,jeremy,UH,F_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,28,FUHSH,jeremy_eng_28,jeremy,UH,F_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,29,FUHV,jeremy_eng_29,jeremy,UH,F_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,30,SHUHS,jeremy_eng_30,jeremy,UH,SH_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,31,SHUHV,jeremy_eng_31,jeremy,UH,SH_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,32,VUHZ,jeremy_eng_32,jeremy,UH,V_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,33,VUHS,jeremy_eng_33,jeremy,UH,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,34,VUHF,jeremy_eng_34,jeremy,UH,V_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,35,VUHSH,jeremy_eng_35,jeremy,UH,V_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,36,VUHV,jeremy_eng_36,jeremy,UH,V_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,37,ZAET,jeremy_eng_37,jeremy,AE,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,38,ZAEB,jeremy_eng_38,jeremy,AE,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,39,ZAED,jeremy_eng_39,jeremy,AE,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,40,SHAEP,jeremy_eng_40,jeremy,AE,SH_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,41,SHAEB,jeremy_eng_41,jeremy,AE,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,42,SHAED,jeremy_eng_42,jeremy,AE,SH_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,43,VAEP,jeremy_eng_43,jeremy,AE,V_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,44,VAEK,jeremy_eng_44,jeremy,AE,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,45,VAEG,jeremy_eng_45,jeremy,AE,V_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,46,VAEB,jeremy_eng_46,jeremy,AE,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,47,VAED,jeremy_eng_47,jeremy,AE,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,48,ZAEZ,jeremy_eng_48,jeremy,AE,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,49,ZAES,jeremy_eng_49,jeremy,AE,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,50,ZAEF,jeremy_eng_50,jeremy,AE,Z_F,eng
