ORDER,WORD_PAIRS,VOWEL_PAIRS,CONTEXT,MONOLINGUAL_SPEAKER,BILINGUAL_SPEAKER
0.0,0.0,AH_Y,V_T,1.0,1.0
1.0,625.0,IH_I,Z_D,0.0,1.0
2.0,221.0,UH_I,F_B,1.0,1.0
3.0,201.0,AE_E,SH_D,1.0,1.0
0.0,296.0,UH_Y,SH_V,1.0,0.0
1.0,633.0,AH_U,Z_D,0.0,0.0
2.0,332.0,AH_Y,V_SH,1.0,1.0
3.0,466.0,UH_U,Z_S,1.0,1.0
0.0,634.0,AH_E,Z_D,1.0,0.0
1.0,427.0,AH_O,F_SH,1.0,0.0
2.0,259.0,AE_Y,SH_S,1.0,0.0
3.0,430.0,AH_E,F_SH,0.0,1.0
0.0,551.0,UH_Y,Z_Z,0.0,1.0
1.0,652.0,AH_OE,S_G,0.0,0.0
2.0,635.0,AH_OE,Z_D,0.0,1.0
3.0,471.0,UH_OE,Z_S,0.0,0.0
0.0,644.0,UH_O,Z_D,1.0,1.0
1.0,272.0,AH_OE,SH_S,1.0,1.0
2.0,549.0,AE_E,Z_Z,1.0,1.0
3.0,476.0,AH_U,Z_T,1.0,1.0
0.0,176.0,AH_E,V_K,1.0,0.0
1.0,321.0,AE_E,V_SH,1.0,0.0
2.0,182.0,AE_E,V_K,1.0,1.0
3.0,552.0,UH_I,Z_Z,1.0,1.0
0.0,581.0,IH_E,Z_SH,1.0,0.0
1.0,327.0,IH_E,V_SH,1.0,1.0
2.0,652.0,AH_OE,S_G,0.0,1.0
3.0,542.0,AH_U,Z_Z,1.0,0.0
0.0,173.0,AH_Y,V_K,0.0,1.0
1.0,202.0,AE_Y,SH_D,0.0,1.0
2.0,205.0,AE_OE,SH_D,1.0,0.0
3.0,36.0,AE_E,V_P,1.0,1.0
0.0,337.0,UH_U,V_SH,1.0,0.0
1.0,283.0,UH_U,F_P,0.0,1.0
2.0,555.0,UH_E,Z_Z,0.0,0.0
3.0,1.0,AH_A,V_T,0.0,0.0
0.0,680.0,AE_E,S_F,0.0,1.0
1.0,469.0,UH_Y,Z_S,0.0,1.0
2.0,647.0,UH_OE,Z_D,0.0,1.0
3.0,271.0,AH_U,SH_S,0.0,1.0
0.0,628.0,IH_E,Z_D,1.0,1.0
1.0,645.0,UH_U,Z_D,1.0,1.0
2.0,293.0,AE_E,SH_V,0.0,0.0
3.0,499.0,IH_E,Z_V,0.0,1.0
0.0,455.0,AH_Y,Z_S,0.0,1.0
1.0,425.0,AE_E,F_SH,0.0,0.0
2.0,31.0,AH_E,V_P,1.0,0.0
3.0,165.0,UH_OE,V_K,1.0,0.0
0.0,653.0,AH_U,S_G,1.0,1.0
